@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_CG-entropy NUMERIC
@ATTRIBUTE support_CG-entropy NUMERIC
@ATTRIBUTE directorder_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_CG-min NUMERIC
@ATTRIBUTE direct_CG-entropy NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE directorder_CG-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE direct_cluster-coeff-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_CG-min NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE support_CG-mean NUMERIC
@ATTRIBUTE direct_cluster-coeff-max NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE direct_cluster-coeff-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-min NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE support_VCG-VAR-mean NUMERIC
@ATTRIBUTE support_VG-mean NUMERIC
@ATTRIBUTE directorder_cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-mean NUMERIC
@ATTRIBUTE directorder_CG-max NUMERIC
@ATTRIBUTE directorder_VG-max NUMERIC
@ATTRIBUTE support_VG-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE csp_log_booleans NUMERIC
@ATTRIBUTE direct_HORNY-VAR-mean NUMERIC
@ATTRIBUTE direct_VG-max NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE support_VG-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-max NUMERIC
@ATTRIBUTE direct_VG-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_HORNY-VAR-max NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE support_CG-max NUMERIC
@ATTRIBUTE support_VCG-VAR-min NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC
@ATTRIBUTE direct_VCG-VAR-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_VCG-VAR-mean NUMERIC
@ATTRIBUTE csp_log_extra_booleans NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE direct_VG-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_VCG-VAR-min NUMERIC
@ATTRIBUTE support_VCG-VAR-max NUMERIC
@ATTRIBUTE directorder_CG-coeff-variation NUMERIC
@ATTRIBUTE direct_VCG-VAR-max NUMERIC
@ATTRIBUTE directorder_nvars NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_HORNY-VAR-mean NUMERIC
@ATTRIBUTE csp_log_ranges NUMERIC
@ATTRIBUTE direct_cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_CG-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-VAR-min NUMERIC
@ATTRIBUTE directorder_VCG-VAR-max NUMERIC
@ATTRIBUTE directorder_nclausesOrig NUMERIC
@ATTRIBUTE directorder_VG-min NUMERIC
@ATTRIBUTE direct_HORNY-VAR-min NUMERIC
@ATTRIBUTE direct_nclausesOrig NUMERIC
@ATTRIBUTE support_HORNY-VAR-max NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE support_nclausesOrig NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-min NUMERIC
@ATTRIBUTE directorder_nvarsOrig NUMERIC
@ATTRIBUTE directorder_nclauses NUMERIC
@ATTRIBUTE support_HORNY-VAR-min NUMERIC
@ATTRIBUTE directorder_VG-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-coeff-variation NUMERIC
@ATTRIBUTE direct_nclauses NUMERIC
@ATTRIBUTE direct_Pre-featuretime NUMERIC
@ATTRIBUTE csp_percent_alldiff NUMERIC
@ATTRIBUTE support_VG-coeff-variation NUMERIC
@ATTRIBUTE csp_log_extra_bits NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE directorder_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE csp_percent_ext NUMERIC
@ATTRIBUTE support_nclauses NUMERIC
@ATTRIBUTE directorder_KLB-featuretime NUMERIC
@ATTRIBUTE support_nvarsOrig NUMERIC
@ATTRIBUTE support_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE direct_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE support_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE support_Pre-featuretime NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE direct_VG-coeff-variation NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,0,0,0.777778,?,0,0.833333,0.324843,0.20904,3.151483,3.109986,0.295491,0.277648,0.006897,0.7,0.017561,0.833333,0.000407,3.109986,0,0.001746,0.7,0.660065,0.011877,0.223239,0.277648,0.006897,0.000363,?,0.00158,0.7,?,0,?,0.38341,0.292424,0.38341,0.223239,0.011877,0.567514,0.000363,0.006536,0.001445,0.001445,0.001726,0.57204,0.00158,0.018584,0.004341,0.003627,0.439007,0.021277,0.751209,?,0.00115,0.003627,0.001901,0.000725,0.002713,0.001726,0.439007,0.003022,0.001149,0.021277,0.000604,?,0.001445,0.001445,0.001149,0.00109,0.583867,?,0.001404,0.001404,?,0.001089,0.000725,0.751209,0.000604,0.003748,0.855577,0.003748,1836,0.292424,0.00115,?,0.583867,0.293021,0.939297,0.000678,0.004205,19584,0.000678,0.000242,19712,0.003022,0.499301,20328,0.000271,8540,7372,0.000242,0.572062,0.939297,8272,0.05,?,0.507818,?,?,0.476199,?,0,?,?,8272,0.01,5016,0.673224,0.673224,0.559339,1.656538,0.04,0.479653,0.825556,0.24905,0.507818,0.976668
bool/routing/s3-3-3-3.xml,1,?,0,0,0.789474,?,0,0.84,0.328985,0.206463,3.073701,3.05281,0.292938,0.27323,0.0069,0.7,0.016234,0.84,0.000375,3.05281,0,0.001573,0.7,0.651508,0.010562,0.222688,0.27323,0.0069,0.00033,?,0.001422,0.7,?,0,?,0.392928,0.29602,0.392928,0.222688,0.010562,0.579817,0.00033,0.006461,0.001326,0.001326,0.001597,0.578279,0.001422,0.018491,0.004123,0.00341,0.435713,0.021667,0.754216,?,0.001074,0.00341,0.00177,0.00066,0.002624,0.001597,0.435713,0.00286,0.001062,0.021667,0.00055,?,0.001326,0.001326,0.001062,0.001007,0.591534,?,0.001275,0.001275,?,0.000994,0.00066,0.754216,0.00055,0.00297,0.866452,0.00297,2012,0.29602,0.001074,?,0.591534,0.297583,0.964599,0.000625,0.003373,20798,0.000625,0.00033,21194,0.00286,0.512696,21842,0.000375,9022,8004,0.00033,0.599616,0.964599,9092,0.04,?,0.529249,?,?,0.480723,?,0,?,?,9092,0.02,5296,0.69182,0.69182,0.574302,1.598451,0.04,0.483508,0.835832,0.251374,0.529249,0.987506
bool/routing/s3-3-3-1.xml,1,?,0,0,0.764706,?,0,0.826087,0.32901,0.203573,3.046886,3.06289,0.300172,0.282591,0.006691,0.7,0.019302,0.826087,0.000441,3.06289,0,0.001816,0.7,0.656667,0.013474,0.219396,0.282591,0.006691,0.000397,?,0.001659,0.7,?,0,?,0.38525,0.282438,0.38525,0.219396,0.013474,0.573834,0.000397,0.006307,0.001526,0.001526,0.001823,0.563104,0.001659,0.018382,0.004559,0.003842,0.439869,0.020668,0.750221,?,0.001218,0.003842,0.001983,0.000795,0.002794,0.001823,0.439869,0.00318,0.001217,0.020668,0.000662,?,0.001526,0.001526,0.001217,0.001149,0.574882,?,0.001471,0.001471,?,0.001147,0.000795,0.750221,0.000662,0.003577,0.840738,0.003577,1744,0.282438,0.001218,?,0.574882,0.282691,0.920635,0.000735,0.003971,18382,0.000735,0.000397,18290,0.00318,0.485077,18874,0.000441,8058,6800,0.000397,0.558529,0.920635,7548,0.03,?,0.4899,?,?,0.467997,?,0,?,?,7548,0.01,4736,0.652395,0.652395,0.546532,1.703235,0.03,0.481471,0.827353,0.256471,0.4899,0.987059
bool/routing/s4-4-3-10.xml,1,52.294304,0,0,0.846154,-1,0,0.9,0.336567,0.213428,3.431214,3.448418,0.269925,0.2458,0.002078,0.7,0.005721,0.9,0.000068,3.448418,0,0.000366,0.7,0.661915,0.003816,0.224379,0.2458,0.002078,0.000056,43.196203,0.000318,0.7,-1,0,29.825949,0.397922,0.317192,0.397922,0.224379,0.003816,0.559734,0.000056,0.001992,0.000258,0.000258,0.000316,0.679238,0.000318,0.008774,0.001263,0.001016,0.418256,0.010009,0.766356,9.714246,0.000214,0.001016,0.000371,0.000113,0.000722,0.000316,0.418256,0.000847,0.000208,0.010009,0.000094,12.544482,0.000258,0.000258,0.000208,0.000206,0.697869,46.186709,0.000257,0.000257,-1,0.000199,0.000113,0.766356,0.000094,0.000865,1.05986,0.000865,10040,0.317192,0.000214,-1,0.697869,0.321339,1.203815,0.000113,0.001038,98532,0.000113,0.000038,108580,0.000847,0.695827,111108,0.000045,40588,44336,0.000038,0.815449,1.203815,53152,0.28,-1,0.754775,-1,1.414214,0.654877,1.414214,0,100,0,53152,0.37,23640,0.949205,0.949205,0.816502,1.222393,0.36,0.462559,0.844235,0.226453,0.754775,0.98773
bool/routing/s4-4-3-7.xml,1,52.413793,0,0,0.826087,-1,0,0.878788,0.333778,0.207762,3.336931,3.278554,0.289327,0.266108,0.002227,0.7,0.008737,0.878788,0.000092,3.278554,0,0.000462,0.7,0.662032,0.005695,0.218561,0.266108,0.002227,0.000079,43.093596,0.000406,0.7,-1,0,29.832512,0.388754,0.297968,0.388754,0.218561,0.005695,0.56079,0.000079,0.002153,0.000329,0.000329,0.000399,0.631598,0.000406,0.008024,0.001501,0.001237,0.42557,0.009452,0.758938,9.392317,0.000267,0.001237,0.000455,0.000158,0.000766,0.000399,0.42557,0.001,0.000262,0.009452,0.000132,12.225207,0.000329,0.000329,0.000262,0.000259,0.650861,46.187192,0.000328,0.000328,-1,0.000253,0.000158,0.758938,0.000132,0.001106,0.985114,0.001106,7896,0.297968,0.000267,-1,0.650861,0.29908,1.095592,0.000153,0.001286,75944,0.000153,0.000079,79854,0.001,0.606099,81884,0.000092,32186,32654,0.000079,0.732722,1.095592,37982,0.2,-1,0.669593,-1,1.414214,0.616617,1.414214,0,100,0,37982,0.17,18778,0.842843,0.842843,0.74263,1.325718,0.2,0.449685,0.83071,0.241808,0.669593,0.990874
bool/routing/s4-4-3-6.xml,1,52.866242,0,0,0.826087,-1,0,0.870968,0.331598,0.206536,3.335461,3.274962,0.292811,0.269247,0.002451,0.7,0.010228,0.870968,0.000103,3.274962,0,0.00051,0.7,0.659588,0.006305,0.217006,0.269247,0.002451,0.000089,42.929936,0.000451,0.7,-1,0,29.766454,0.386366,0.294703,0.386366,0.217006,0.006305,0.562843,0.000089,0.002372,0.000363,0.000363,0.00044,0.623064,0.000451,0.007809,0.00161,0.001332,0.428764,0.009617,0.755553,9.285402,0.000293,0.001332,0.0005,0.000178,0.000856,0.00044,0.428764,0.001065,0.000288,0.009617,0.000148,12.120238,0.000363,0.000363,0.000288,0.000284,0.645816,46.072187,0.000362,0.000362,-1,0.000279,0.000178,0.755553,0.000148,0.001243,0.955287,0.001243,7168,0.294703,0.000293,-1,0.645816,0.295157,1.055769,0.000171,0.001439,69488,0.000171,0.000089,72188,0.001065,0.582556,74072,0.000103,29692,29196,0.000089,0.715549,1.055769,33796,0.18,-1,0.652664,-1,1.414214,0.604699,1.414214,0,100,0,33796,0.15,17332,0.814901,0.814901,0.722037,1.380052,0.22,0.443348,0.826689,0.245513,0.652664,0.990547
bool/routing/s4-4-3-3.xml,1,52.09826,0,0,0.833333,-1,0,0.875,0.3309,0.209201,3.376631,3.317317,0.289431,0.266568,0.002385,0.7,0.009424,0.875,0.000098,3.317317,0,0.000497,0.7,0.663327,0.005984,0.219206,0.266568,0.002385,0.000085,43.172979,0.000437,0.7,-1,0,29.662231,0.385778,0.298627,0.385778,0.219206,0.005984,0.558025,0.000085,0.002312,0.000353,0.000353,0.000427,0.628814,0.000437,0.008023,0.001572,0.001298,0.427522,0.00965,0.757162,9.33985,0.000285,0.001298,0.000488,0.000169,0.000819,0.000427,0.427522,0.001044,0.000281,0.00965,0.000141,12.160502,0.000353,0.000353,0.000281,0.000277,0.648987,45.957011,0.000354,0.000354,-1,0.000272,0.000169,0.757162,0.000141,0.001298,0.966738,0.001298,7352,0.298627,0.000285,-1,0.648987,0.299404,1.071623,0.000164,0.001506,72212,0.000164,0.000056,75526,0.001044,0.596036,77480,0.000065,30714,30538,0.000056,0.719549,1.071623,35442,0.18,-1,0.658627,-1,1.414214,0.607346,1.414214,0,100,0,35442,0.15,17926,0.829021,0.829021,0.728299,1.36466,0.24,0.447443,0.827035,0.240749,0.658627,0.985395
bool/routing/s3-3-3-2.xml,1,?,0,0,0.809524,?,0,0.851852,0.329536,0.209304,3.158538,3.071158,0.284689,0.2631,0.007062,0.7,0.014008,0.851852,0.000324,3.071158,0,0.001405,0.7,0.646067,0.008537,0.224411,0.2631,0.007062,0.000281,?,0.001273,0.7,?,0,?,0.397869,0.3046,0.397869,0.224411,0.008537,0.584632,0.000281,0.006579,0.001173,0.001173,0.001427,0.598913,0.001273,0.018475,0.004213,0.003463,0.433981,0.022651,0.755148,?,0.00096,0.003463,0.001602,0.000562,0.002485,0.001427,0.433981,0.002808,0.000942,0.022651,0.000468,?,0.001173,0.001173,0.000942,0.000897,0.618203,?,0.001127,0.001127,?,0.000877,0.000562,0.755148,0.000468,0.002902,0.885264,0.002902,2280,0.3046,0.00096,?,0.618203,0.307091,0.996753,0.00054,0.002917,23442,0.00054,0.000281,24350,0.002808,0.544859,25062,0.000324,10070,9256,0.000281,0.645619,0.996753,10684,0.07,?,0.575699,?,?,0.498845,?,0,?,?,10684,0.02,5904,0.738036,0.738036,0.610309,1.532627,0.04,0.481201,0.841616,0.246327,0.575699,0.9879
bool/routing/s4-4-3-2.xml,1,52.663934,0,0,0.833333,-1,0,0.875,0.330922,0.209541,3.379023,3.321998,0.288622,0.265827,0.002409,0.7,0.009424,0.875,0.000099,3.321998,0,0.0005,0.7,0.662973,0.005984,0.219729,0.265827,0.002409,0.000085,43.002049,0.00044,0.7,-1,0,29.661885,0.386344,0.299301,0.386344,0.219729,0.005984,0.558339,0.000085,0.002333,0.000357,0.000357,0.000432,0.629585,0.00044,0.00808,0.001583,0.001307,0.427167,0.009714,0.757404,9.33985,0.000288,0.001307,0.000493,0.00017,0.000825,0.000432,0.427167,0.001051,0.000283,0.009714,0.000142,12.166791,0.000357,0.000357,0.000283,0.000279,0.649515,45.932377,0.000357,0.000357,-1,0.000274,0.00017,0.757404,0.000142,0.001307,0.968954,0.001307,7288,0.299301,0.000288,-1,0.649515,0.300169,1.07348,0.000165,0.001517,72154,0.000165,0.000057,75470,0.001051,0.597451,77422,0.000066,30690,30320,0.000057,0.71955,1.07348,35208,0.18,-1,0.658517,-1,1.414214,0.606948,1.414214,0,100,0,35208,0.15,17912,0.829477,0.829477,0.727517,1.379749,0.17,0.448351,0.827309,0.240369,0.658517,0.985224
bool/routing/s4-4-3-8.xml,1,51.226994,0,0,0.764706,-1,0,0.826087,0.328171,0.19902,3.198464,3.183414,0.315276,0.296488,0.002561,0.7,0.019302,0.826087,0.000179,3.183414,0,0.000825,0.7,0.669053,0.013474,0.209147,0.296488,0.002561,0.000162,44.355828,0.000741,0.7,-1,0,32.392638,0.3716,0.264899,0.3716,0.209147,0.013474,0.552982,0.000162,0.002509,0.000593,0.000593,0.000703,0.5667,0.000741,0.007458,0.002029,0.00184,0.438613,0.008442,0.746465,8.754888,0.000462,0.00184,0.000766,0.000325,0.001134,0.000703,0.438613,0.001299,0.000466,0.008442,0.000271,11.537218,0.000593,0.000593,0.000466,0.000452,0.581855,51.779141,0.000594,0.000594,-1,0.000456,0.000325,0.746465,0.000271,0.002273,0.896583,0.002273,4384,0.264899,0.000462,-1,0.581855,0.262862,0.949446,0.000298,0.002506,44200,0.000298,0.000162,43088,0.001299,0.465943,44392,0.000179,19512,16760,0.000162,0.571078,0.949446,18480,0.1,-1,0.509404,-1,1.414214,0.560055,1.414214,0,100,0,18480,0.06,11432,0.642607,0.642607,0.619107,1.637232,0.14,0.436277,0.806444,0.261575,0.509404,0.989021
