@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE directorder_CG-entropy NUMERIC
@ATTRIBUTE support_CG-entropy NUMERIC
@ATTRIBUTE directorder_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_CG-min NUMERIC
@ATTRIBUTE direct_CG-entropy NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE directorder_CG-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE support_cluster-coeff-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE direct_cluster-coeff-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_CG-min NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE support_CG-mean NUMERIC
@ATTRIBUTE direct_cluster-coeff-max NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE direct_cluster-coeff-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-min NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE support_VCG-VAR-mean NUMERIC
@ATTRIBUTE support_VG-mean NUMERIC
@ATTRIBUTE directorder_cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-mean NUMERIC
@ATTRIBUTE directorder_CG-max NUMERIC
@ATTRIBUTE directorder_VG-max NUMERIC
@ATTRIBUTE support_VG-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_CG-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE csp_log_booleans NUMERIC
@ATTRIBUTE direct_HORNY-VAR-mean NUMERIC
@ATTRIBUTE direct_VG-max NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE support_VG-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-max NUMERIC
@ATTRIBUTE direct_VG-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE direct_HORNY-VAR-max NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE support_CG-max NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,0,0,0.777778,?,0,0.833333,0.324843,0.20904,3.151483,3.109986,0.295491,0.277648,0.006897,0.7,0.017561,0.833333,0.000407,3.109986,0,0.001746,0.7,0.660065,0.011877,0.223239,0.277648,0.006897,0.000363,?,0.00158,0.7,?,0,?,0.38341,0.292424,0.38341,0.223239,0.011877,0.567514,0.000363,0.006536,0.001445,0.001445,0.001726,0.57204,0.00158,0.018584,0.004341,0.003627,0.439007,0.021277,0.751209,?,0.00115,0.003627,0.001901,0.000725,0.002713,0.001726,0.439007,0.003022,0.001149,0.021277
bool/routing/s3-3-3-3.xml,1,?,0,0,0.789474,?,0,0.84,0.328985,0.206463,3.073701,3.05281,0.292938,0.27323,0.0069,0.7,0.016234,0.84,0.000375,3.05281,0,0.001573,0.7,0.651508,0.010562,0.222688,0.27323,0.0069,0.00033,?,0.001422,0.7,?,0,?,0.392928,0.29602,0.392928,0.222688,0.010562,0.579817,0.00033,0.006461,0.001326,0.001326,0.001597,0.578279,0.001422,0.018491,0.004123,0.00341,0.435713,0.021667,0.754216,?,0.001074,0.00341,0.00177,0.00066,0.002624,0.001597,0.435713,0.00286,0.001062,0.021667
bool/routing/s3-3-3-1.xml,1,?,0,0,0.764706,?,0,0.826087,0.32901,0.203573,3.046886,3.06289,0.300172,0.282591,0.006691,0.7,0.019302,0.826087,0.000441,3.06289,0,0.001816,0.7,0.656667,0.013474,0.219396,0.282591,0.006691,0.000397,?,0.001659,0.7,?,0,?,0.38525,0.282438,0.38525,0.219396,0.013474,0.573834,0.000397,0.006307,0.001526,0.001526,0.001823,0.563104,0.001659,0.018382,0.004559,0.003842,0.439869,0.020668,0.750221,?,0.001218,0.003842,0.001983,0.000795,0.002794,0.001823,0.439869,0.00318,0.001217,0.020668
bool/routing/s4-4-3-10.xml,1,52.294304,0,0,0.846154,-1,0,0.9,0.336567,0.213428,3.431214,3.448418,0.269925,0.2458,0.002078,0.7,0.005721,0.9,0.000068,3.448418,0,0.000366,0.7,0.661915,0.003816,0.224379,0.2458,0.002078,0.000056,43.196203,0.000318,0.7,-1,0,29.825949,0.397922,0.317192,0.397922,0.224379,0.003816,0.559734,0.000056,0.001992,0.000258,0.000258,0.000316,0.679238,0.000318,0.008774,0.001263,0.001016,0.418256,0.010009,0.766356,9.714246,0.000214,0.001016,0.000371,0.000113,0.000722,0.000316,0.418256,0.000847,0.000208,0.010009
bool/routing/s4-4-3-7.xml,1,52.413793,0,0,0.826087,-1,0,0.878788,0.333778,0.207762,3.336931,3.278554,0.289327,0.266108,0.002227,0.7,0.008737,0.878788,0.000092,3.278554,0,0.000462,0.7,0.662032,0.005695,0.218561,0.266108,0.002227,0.000079,43.093596,0.000406,0.7,-1,0,29.832512,0.388754,0.297968,0.388754,0.218561,0.005695,0.56079,0.000079,0.002153,0.000329,0.000329,0.000399,0.631598,0.000406,0.008024,0.001501,0.001237,0.42557,0.009452,0.758938,9.392317,0.000267,0.001237,0.000455,0.000158,0.000766,0.000399,0.42557,0.001,0.000262,0.009452
bool/routing/s4-4-3-6.xml,1,52.866242,0,0,0.826087,-1,0,0.870968,0.331598,0.206536,3.335461,3.274962,0.292811,0.269247,0.002451,0.7,0.010228,0.870968,0.000103,3.274962,0,0.00051,0.7,0.659588,0.006305,0.217006,0.269247,0.002451,0.000089,42.929936,0.000451,0.7,-1,0,29.766454,0.386366,0.294703,0.386366,0.217006,0.006305,0.562843,0.000089,0.002372,0.000363,0.000363,0.00044,0.623064,0.000451,0.007809,0.00161,0.001332,0.428764,0.009617,0.755553,9.285402,0.000293,0.001332,0.0005,0.000178,0.000856,0.00044,0.428764,0.001065,0.000288,0.009617
bool/routing/s4-4-3-3.xml,1,52.09826,0,0,0.833333,-1,0,0.875,0.3309,0.209201,3.376631,3.317317,0.289431,0.266568,0.002385,0.7,0.009424,0.875,0.000098,3.317317,0,0.000497,0.7,0.663327,0.005984,0.219206,0.266568,0.002385,0.000085,43.172979,0.000437,0.7,-1,0,29.662231,0.385778,0.298627,0.385778,0.219206,0.005984,0.558025,0.000085,0.002312,0.000353,0.000353,0.000427,0.628814,0.000437,0.008023,0.001572,0.001298,0.427522,0.00965,0.757162,9.33985,0.000285,0.001298,0.000488,0.000169,0.000819,0.000427,0.427522,0.001044,0.000281,0.00965
bool/routing/s3-3-3-2.xml,1,?,0,0,0.809524,?,0,0.851852,0.329536,0.209304,3.158538,3.071158,0.284689,0.2631,0.007062,0.7,0.014008,0.851852,0.000324,3.071158,0,0.001405,0.7,0.646067,0.008537,0.224411,0.2631,0.007062,0.000281,?,0.001273,0.7,?,0,?,0.397869,0.3046,0.397869,0.224411,0.008537,0.584632,0.000281,0.006579,0.001173,0.001173,0.001427,0.598913,0.001273,0.018475,0.004213,0.003463,0.433981,0.022651,0.755148,?,0.00096,0.003463,0.001602,0.000562,0.002485,0.001427,0.433981,0.002808,0.000942,0.022651
bool/routing/s4-4-3-2.xml,1,52.663934,0,0,0.833333,-1,0,0.875,0.330922,0.209541,3.379023,3.321998,0.288622,0.265827,0.002409,0.7,0.009424,0.875,0.000099,3.321998,0,0.0005,0.7,0.662973,0.005984,0.219729,0.265827,0.002409,0.000085,43.002049,0.00044,0.7,-1,0,29.661885,0.386344,0.299301,0.386344,0.219729,0.005984,0.558339,0.000085,0.002333,0.000357,0.000357,0.000432,0.629585,0.00044,0.00808,0.001583,0.001307,0.427167,0.009714,0.757404,9.33985,0.000288,0.001307,0.000493,0.00017,0.000825,0.000432,0.427167,0.001051,0.000283,0.009714
bool/routing/s4-4-3-8.xml,1,51.226994,0,0,0.764706,-1,0,0.826087,0.328171,0.19902,3.198464,3.183414,0.315276,0.296488,0.002561,0.7,0.019302,0.826087,0.000179,3.183414,0,0.000825,0.7,0.669053,0.013474,0.209147,0.296488,0.002561,0.000162,44.355828,0.000741,0.7,-1,0,32.392638,0.3716,0.264899,0.3716,0.209147,0.013474,0.552982,0.000162,0.002509,0.000593,0.000593,0.000703,0.5667,0.000741,0.007458,0.002029,0.00184,0.438613,0.008442,0.746465,8.754888,0.000462,0.00184,0.000766,0.000325,0.001134,0.000703,0.438613,0.001299,0.000466,0.008442
