@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,0,0,0.777778,?,0,0.833333
bool/routing/s3-3-3-3.xml,1,?,0,0,0.789474,?,0,0.84
bool/routing/s3-3-3-1.xml,1,?,0,0,0.764706,?,0,0.826087
bool/routing/s4-4-3-10.xml,1,52.294304,0,0,0.846154,-1,0,0.9
bool/routing/s4-4-3-7.xml,1,52.413793,0,0,0.826087,-1,0,0.878788
bool/routing/s4-4-3-6.xml,1,52.866242,0,0,0.826087,-1,0,0.870968
bool/routing/s4-4-3-3.xml,1,52.09826,0,0,0.833333,-1,0,0.875
bool/routing/s3-3-3-2.xml,1,?,0,0,0.809524,?,0,0.851852
bool/routing/s4-4-3-2.xml,1,52.663934,0,0,0.833333,-1,0,0.875
bool/routing/s4-4-3-8.xml,1,51.226994,0,0,0.764706,-1,0,0.826087
bool/routing/s4-4-3-9.xml,1,51.781473,0,0,0.846154,-1,0,0.9
bool/routing/s4-4-3-4.xml,1,52.480916,0,0,0.833333,-1,0,0.882353
bool/routing/s3-3-3-5.xml,1,?,0,0,0.789474,?,0,0.84
bool/routing/s4-4-3-5.xml,1,51.845018,0,0,0.826087,-1,0,0.885714
bool/routing/s4-4-3-1.xml,1,52.366864,0,0,0.826087,-1,0,0.878788
bool/ii/ii-16e2.xml,1,93.634079,0,0,0.826087,-1,0,0.878788
bool/ii/ii-8b1.xml,1,?,0,0,0.733333,?,0,0.764706
bool/ii/ii-32c1.xml,1,?,0,0,0.826087,?,0,0.938462
bool/ii/ii-8d1.xml,1,?,0,0,0.833333,?,0,0.833333
bool/ii/ii-16a1.xml,1,92.149586,0,0,0.826087,-1,0,0.878788
bool/ii/ii-32c3.xml,1,92.143058,0,0,0.826087,-1,0,0.938462
