@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC

@DATA
adder-10-sat-shuffled,1,0.010986,0.994507,1.132939,1.132939,0.531163,0.104494,0.078758,0.128546,0.854035,0.282784,0.835103,0.715889,0.074811,0.896929,0.896929,0.779554
adder-10-unsat-shuffled,1,0.001096,0.999726,1.243463,1.243463,0.55426,0.072991,0.062859,0.027706,0.913469,0.170238,0.967578,0.843517,0.111022,0.88162,0.88162,0.854527
adder-12-sat-shuffled,1,0.009067,0.995467,1.134255,1.134255,0.531453,0.097549,0.072989,0.121774,0.863319,0.264487,0.846019,0.713697,0.071043,0.90401,0.90401,0.790835
adder-12-unsat-shuffled,1,0.000754,0.999811,1.246269,1.246269,0.554817,0.065635,0.056189,0.025199,0.922242,0.152968,0.970946,0.844088,0.101268,0.892656,0.892656,0.867327
adder-14-sat-shuffled,1,0.007719,0.996141,1.135195,1.135195,0.531659,0.091632,0.068101,0.115822,0.871339,0.248711,0.855372,0.712195,0.067693,0.910066,0.910066,0.800826
adder-14-unsat-shuffled,1,0.00055,0.999862,1.248295,1.248295,0.555218,0.059669,0.050842,0.023129,0.929346,0.138979,0.973656,0.844524,0.093148,0.901742,0.901742,0.877979
adder-16-unsat-shuffled,1,0.000419,0.999895,1.249827,1.249827,0.555521,0.05472,0.046447,0.021385,0.935232,0.127387,0.975891,0.844867,0.086266,0.909374,0.909374,0.887007
Adder2-10-s-shuffled,1,0.726821,0.444433,1,1,0.5,0.413789,0.426218,0.089112,0.566732,0.79594,0.83996,0.955042,0.354077,0.569132,0.569132,0.556811
Adder2-4-s-shuffled,1,0.72669,0.445552,1,1,0.5,0.415911,0.426705,0.087918,0.566194,0.796548,0.84205,0.958749,0.355459,0.568704,0.568704,0.556623
Adder2-6-c-shuffled,1,0.726373,0.447045,1,1,0.5,0.411294,0.427095,0.059227,0.566171,0.797047,0.893565,0.948054,0.384304,0.564056,0.564056,0.556468
Adder2-6-s-shuffled,1,0.726783,0.444877,1,1,0.5,0.414678,0.426414,0.088603,0.566513,0.79617,0.840854,0.956611,0.354657,0.56896,0.56896,0.55674
adder-4-sat-shuffled,1,0.030189,0.984906,1.120968,1.120968,0.528517,0.14083,0.108165,0.159486,0.809953,0.370044,0.781498,0.741029,0.091318,0.862002,0.862002,0.729904
adder-6-sat-shuffled,1,0.019063,0.990469,1.12766,1.12766,0.53,0.123948,0.094829,0.146162,0.829222,0.331842,0.805335,0.725786,0.084339,0.877595,0.877595,0.75084
adder-8-sat-shuffled,1,0.013937,0.993031,1.130964,1.130964,0.530729,0.112944,0.085781,0.136456,0.842999,0.30458,0.821982,0.719382,0.079142,0.888409,0.888409,0.766531
adder-8-unsat-shuffled,1,0.001737,0.999566,1.239316,1.239316,0.553435,0.08235,0.071472,0.030826,0.902284,0.192241,0.963248,0.842752,0.12304,0.867836,0.867836,0.838756
aim-100-1_6-yes1-3-50-shuffled,1,0.530691,0.205882,0.833333,0.833333,0.454545,0.304989,0.322537,0.149223,0.642786,0.681185,0.749129,0.8538,0.280829,0.613409,0.613409,0.594819
