@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TERMORE_CLAUSE NUMERIC
@ATTRIBUTE OCCFP_OCCFN NUMERIC
@ATTRIBUTE LITFP_LITFN NUMERIC
@ATTRIBUTE OCCFP_OCCF NUMERIC
@ATTRIBUTE WOCCEP_WOCC NUMERIC
@ATTRIBUTE WOCCEP_WOCCE NUMERIC
@ATTRIBUTE LITFN_LIT NUMERIC
@ATTRIBUTE WOCCN_WOCC NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITEN_LITN NUMERIC
@ATTRIBUTE WOCCEP_WOCCP NUMERIC
@ATTRIBUTE LITEP_LIT NUMERIC
@ATTRIBUTE LITEN_LITE NUMERIC
@ATTRIBUTE OCCEN_OCCE NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCE_OCC NUMERIC
@ATTRIBUTE OCCEN_OCC NUMERIC
@ATTRIBUTE OCCEN_OCCN NUMERIC
@ATTRIBUTE EXIST_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_SET NUMERIC
@ATTRIBUTE TOTAL_SET NUMERIC
@ATTRIBUTE FORALL_SET NUMERIC
@ATTRIBUTE FORALL_NEG_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE FORALL_LIT_PER_CLAUSE NUMERIC
@ATTRIBUTE FORALL_VARS NUMERIC
@ATTRIBUTE W_OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE LITERALS NUMERIC
@ATTRIBUTE TERNARY_MORE_CLAUSES NUMERIC
@ATTRIBUTE CLAUSES NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC

@DATA
adder-10-sat-shuffled,1,0.010986,0.994507,1.132939,1.132939,0.531163,0.104494,0.078758,0.128546,0.854035,0.282784,0.835103,0.715889,0.074811,0.896929,0.896929,0.779554,1.127011,1.010848,1.2967,5.249382,1.053282,2,4,2,0.92969,1.982972,655,6.64837,26333,3621,3641,592.5
adder-10-unsat-shuffled,1,0.001096,0.999726,1.243463,1.243463,0.55426,0.072991,0.062859,0.027706,0.913469,0.170238,0.967578,0.843517,0.111022,0.88162,0.88162,0.854527,1.144132,1.008689,1.180407,10.284932,0.377808,2,3,1,0.303836,0.681644,335,4.810549,40028,3649,3650,761.5
adder-12-sat-shuffled,1,0.009067,0.995467,1.134255,1.134255,0.531453,0.097549,0.072989,0.121774,0.863319,0.264487,0.846019,0.713697,0.071043,0.90401,0.90401,0.790835,1.144969,1.035063,1.308824,5.643748,1.053268,2,4,2,0.928598,1.981866,942,6.678679,40370,5270,5294,861
adder-12-unsat-shuffled,1,0.000754,0.999811,1.246269,1.246269,0.554817,0.065635,0.056189,0.025199,0.922242,0.152968,0.970946,0.844088,0.101268,0.892656,0.892656,0.867327,1.1518,1.028161,1.185437,11.347597,0.377757,2,3,1,0.30311,0.680867,486,4.834698,63811,5304,5305,1100
adder-14-sat-shuffled,1,0.007719,0.996141,1.135195,1.135195,0.531659,0.091632,0.068101,0.115822,0.871339,0.248711,0.855372,0.712195,0.067693,0.910066,0.910066,0.800826,1.161432,1.056979,1.319861,6.029359,1.053205,2,4,2,0.927774,1.980979,1281,6.699725,58115,7227,7255,1179.5
adder-14-unsat-shuffled,1,0.00055,0.999862,1.248295,1.248295,0.555218,0.059669,0.050842,0.023129,0.929346,0.138979,0.973656,0.844524,0.093148,0.901742,0.901742,0.877979,1.158068,1.044278,1.189411,12.400936,0.377683,2,3,1,0.302559,0.680242,665,4.851609,95074,7267,7268,1500.5
adder-16-unsat-shuffled,1,0.000419,0.999895,1.249827,1.249827,0.555521,0.05472,0.046447,0.021385,0.935232,0.127387,0.975891,0.844867,0.086266,0.909374,0.909374,0.887007,1.163311,1.057884,1.192645,13.448475,0.377608,2,3,1,0.302128,0.679736,872,4.86411,134769,9538,9539,1963
Adder2-10-s-shuffled,1,0.726821,0.444433,1,1,0.5,0.413789,0.426218,0.089112,0.566732,0.79594,0.83996,0.955042,0.354077,0.569132,0.569132,0.556811,0.882103,0.502034,0.901622,2.008692,0.217819,3,6,3,0.217819,0.435637,545,6.560296,23622,4295,9664,2474.666667
Adder2-4-s-shuffled,1,0.72669,0.445552,1,1,0.5,0.415911,0.426705,0.087918,0.566194,0.796548,0.84205,0.958749,0.355459,0.568704,0.568704,0.556623,0.889488,0.505855,0.908793,2.014947,0.214947,3,6,3,0.214947,0.429893,86,6.53117,3435,626,1405,361.666667
Adder2-6-c-shuffled,1,0.726373,0.447045,1,1,0.5,0.411294,0.427095,0.059227,0.566171,0.797047,0.893565,0.948054,0.384304,0.564056,0.564056,0.556468,0.935331,0.527579,0.948085,2.156916,0.144914,4,7,3,0.144914,0.289829,159,7.6434,8155,1490,3333,651.5
