@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_min NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE SP_unconstraint_coeff_variation NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0124,0.9218,1,0.6249,3.5574,4.9846,0.0782,0,0.6552,4539,0.8411,4539,1,0.6491,4539,0.689,0.6646,4673,0.71,4636,4.7177,4696,1.0967,0.7281,0.7882,4696,0.0094,4696,0.8082,0.9811,0,0,0,0,0,0,0.1644,0.1566,0.0149,0.127,0.2854,0,0.3469,0.105,23.9398,0,0,22.2967,0.265,37.9667,0.002,37.8226,37.8226,37.8226,2.2552,0.0042,0.2395,38.1864,38.1864,?,0.0093,0.0093,38.1864,0.357
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0,0,0.0429,1.6542,1.318,0.0097,0.8047,0.6053,2729,0.0919,2729,0.2457,0.0445,2756,0.1459,0.0908,2804,0.1227,2926,2.3439,3357,0.017,0.1593,0.1729,3357,0.0029,3028,0.7036,0.1732,0.4946,0.4944,0.4946,0.4944,1.3505,0.4941,0,0.027,0.0718,0.0163,0.0632,0.4952,0.009,0.1176,1.031,0.4949,0.4947,1.8382,0.1668,20.5678,0,19.2126,18.2995,18.2995,0.0005,0.0583,0.0569,21.7036,21.7036,?,0.0029,0.0029,21.4716,0.2366
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0,0.9085,1,0.6343,2.9895,4.8805,0.0915,0,0.7026,314,0.8131,305,1,0.6431,321,0.6566,0.6469,346,0.6901,366.4211,4.461,561,1.0759,0.7046,0.7643,500,0.0094,376,0.7939,0.9785,0,0,0,0,0,0,0.0293,0.1594,0.1709,0.1254,0.2313,0,0.306,0.0514,23.5432,0,0,21.2099,0.1884,51.5407,0.0714,49.8067,48.9554,47.2687,2.4238,0.0651,0.2615,62.3743,58.886,?,0.008,0.0073,51.5394,0.3714
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.9439,0.6,0.7761,2.7898,5.3062,0.9439,0.0185,0.7613,208,0.3544,104,0.9956,0.8116,227,0.8322,0.8219,258,0.832,263,4.7853,461,1.6272,0.8422,0.8508,303,0.012,292,0.8762,0.8837,0,0,0,0,0.2249,0,0,0.0408,0.2533,0.0811,0.1807,0,0.2362,0.0348,41.2197,0,0,35.6272,0.9589,51.4256,0.2091,47.1034,45.5938,44.0117,7.5434,0.1283,0.2128,69.625,67.3557,?,0.003,0.0014,52.022,0.2033
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.8333,0.8333,0,0.5831,0,0,0.675,1.0005,0.6708,4481,0.3333,4481,0.4675,0.5831,4486,0.5832,0.5831,4536,0.5832,4526.1667,1.3427,4591,0.4472,0.5832,0.5832,4591,0.4167,4558,0.8324,0.5833,0.2295,0.2295,0.2295,0.2295,1.1239,0.2294,0.1116,0,0.0088,0.3333,0.3333,0.2295,0.4506,0.025,0.5805,0.2295,0.2295,1.1006,0.2313,36.3925,0.0246,34.8915,32.4055,32.4055,0.0001,0.0733,0,40.9846,40.9846,0.0952,0.0249,0.0208,38.0412,0.3081
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.972,0.8947,0.8144,2.9852,4.7883,0.972,0.011,0.8729,316,0.5072,316,0.9984,0.8649,951,0.8904,0.8761,3648,0.8878,2387.75,4.6093,4636,1.8403,0.9017,0.9092,4636,0.0144,4636,0.9554,0.9225,0,0,0,0,0.11,0,0,0.067,0.755,0.2021,0.3759,0.0012,0.1742,0.0811,31.8335,0,0,31.1851,11.8928,68.9673,0,67.0736,57.0222,57.0222,3.8924,0.116,0.2101,78.5192,78.5192,?,0.0144,0.0144,78.5192,0.2524
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0.875,1,0.7473,0,0,0.875,0,0.8259,4876,0.0345,4876,1,0.7474,4876,0.7476,0.7475,4893,0.7476,4900,0,4931,1.186,0.7477,0.7478,4931,0.125,4931,0.8672,0.7478,0.0302,0.0302,0.0302,0.0302,0,0.0302,0,0,0.0047,0.0345,0.0345,0.0304,0.3768,0.0667,2.5406,0.0303,0.0303,3.4182,0.078,76.9212,0,72.2519,72.2519,72.2519,0.0018,0.0641,0,83.7463,83.7463,0.0095,0.0889,0.0889,83.7463,0
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0.8182,1,0.672,0,0,0.8182,0,0.7824,4886,0.0526,4886,1,0.6721,4904,0.6722,0.6721,4912,0.6722,4904.75,0,4917,0.8932,0.6722,0.6723,4917,0.1818,4917,0.8174,0.6724,0.0529,0.0528,0.0529,0.0528,0,0.0528,0,0,0.0024,0.0526,0.0526,0.053,0.4741,0.1,2.0526,0.053,0.0529,2.5267,0.0956,34.2879,0,34.2412,32.7716,32.7716,0.0012,0.0281,0,35.387,35.387,0.022,0.1291,0.1291,35.387,0
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.9668,0.8667,0.7881,2.8638,4.6442,0.9668,0.0123,0.8406,403,0.4657,403,0.9979,0.8555,403,0.8792,0.8687,4446,0.8774,3157.3333,4.2032,4623,1.8272,0.8904,0.8998,4623,0.0129,4623,0.9515,0.9205,0,0,0,0,0.1337,0,0,0.0628,0.6173,0.1,0.323,0.0002,0.1845,0.0805,36.4759,0,0,33.2679,13.6648,69.9892,0,66.3086,66.3086,66.3086,3.7055,0.0648,0.1947,76.3785,76.3785,?,0.0129,0.0129,76.3785,0.2179
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.003,0.9169,1,0.6291,3.3642,4.9607,0.0831,0,0.6994,4572,0.8273,4572,1,0.6446,4572,0.6842,0.6578,4574,0.7059,4631.6667,4.6672,4749,1.105,0.7239,0.7737,4749,0.0092,4749,0.8173,0.9816,0,0,0,0,0,0,0.1506,0.1559,0.0179,0.1283,0.2552,0,0.3096,0.104,24.7775,0,0,22.543,0.2858,45.7407,0.0022,40.5477,40.5477,40.5477,2.3397,0.0813,0.2483,49.049,49.049,?,0.0091,0.009,49.049,0.3595
