@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,0.9835,0.9945
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.1759,0.5429
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.1002,0.4945
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.1569,0.5946
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,0.3503,0.6399
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.157,0.5943
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.6142,0.8292
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.2573,0.5304
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,0.9831,0.9944
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,0.5813,0.9106
./SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf,1,0.7119,0.7996
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top25.cnf,1,0.5502,0.5848
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-27-step14.cnf,1,0.9778,1
./SAT09/APPLICATIONS/bitverif/maxxororand/maxxororand064.cnf,1,0.3132,0.548
./SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pathways-13-step17.cnf,1,0.8123,0.9513
./SAT09/APPLICATIONS/bioinfo/q_query_3_L70_coli.sat.cnf,1,0.6128,0.9211
./SAT05/industrial/maris05/DriverLog/driverlog3_v01a.renamed-as.sat05-3963.cnf,1,0.8343,0.9531
./SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtpmsns2-tseitin.cnf,1,0.3393,0.7174
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-lfsr_008_079_112-tseitin.cnf,1,0.8491,0.9899
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.035-NOTKNOWN.cnf,1,0.9254,0.9545
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,0.9971,1
./SAT04/industrial/velev/vliw_unsat_2.0/9dlx_vliw_at_b_iq6.used-as.sat04-347.cnf,1,0.9918,1
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_2_keyfind_1.cnf,1,0.0253,0.2234
./SAT11/application/leberre/2dimensionalstrippacking/korf-18.cnf,1,0.8508,0.9071
./SAT09/APPLICATIONS/diagnosis/ACG-10-10p0.cnf,1,0.582,0.8834
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top26.cnf,1,0.5507,0.586
./SAT05/industrial/grieu05/vmpc/vmpc_25.renamed-as.sat05-1913.cnf,1,0.6928,0.6977
./SAT07/industrial/palacios/hard/sortnet-8-ipc5-h19-sat.cnf,1,0.6386,0.9685
./SAT11/application/kullmann/AES/Benchmarks/32/aes_32_1_keyfind_1.cnf,1,0.0175,0.2222
./SAT07/industrial/anbulagan/hard-unsat/partial-5-11-u.cnf,1,0.7515,0.8792
./SAT11/application/rintanen/SATPlanning/openstacks-sequencedstrips-nonadl-nonnegated-os-sequencedstrips-p30_3.085-SAT.cnf,1,0.9176,0.9844
./SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,0.7406,0.8796
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom24.cnf,1,0.1567,0.5997
./SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.120-NOTKNOWN.cnf,1,0.9835,0.9945
./SAT09/APPLICATIONS/crypto/desgen/gss-16-s100.cnf,1,0.853,0.9252
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom23.cnf,1,0.1568,0.5983
SAT_RACE08/cnf/velev-vliw-uns-4.0-9-i1.cnf,1,0.9969,1
./SAT11/application/rintanen/SATPlanning/sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf,1,0.9218,0.9676
