@RELATION 'FEATURE_VALUES-SAT11-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC

@DATA
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.180-SAT.cnf,1,0.9835,0.9945,0.9919,0.9613,0.962,0.9608,0.3261,0.057,0.9978,?,0.9608,?,1.6503,?,0.999,0.1005,1.7385,0.1785,0.6483,0.0731,0.9938,0.5,0.4264,?,1.6658,0.276,0.7896,0.5031,0,0.9482,0.0575,0
./SAT07/industrial/jarvisalo/eq.atree.braun.12.unsat.cnf,1,0.1759,0.5429,0.3456,0.2379,0.0982,0.217,0.0901,0.241,0.8775,0.001,0.5004,0.0034,2.0475,0.0296,0.8527,0.8037,2.4287,0.9511,1.1951,0.072,0.5,0.3218,0.0776,0.015,1.9744,0.9708,0.3448,0.8349,0.9718,0.0412,0.0561,0.2713
./SAT11/application/manthey/traffic/traffic_b_unsat.cnf,1,0.1002,0.4945,0.341,0.1995,0.0271,0.0599,0.0361,0.0349,0.1821,?,0.1144,?,1.7163,?,1,1.1245,5.1632,0.5907,0.4399,0.1005,0.5,0.2793,0.0223,?,2.6061,0.4539,0.0538,2.8639,0,0.0098,0.0192,1.0493
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom19.cnf,1,0.1569,0.5946,0.5594,0.2703,0.0394,0.1279,0.2438,0.1806,0.7225,?,0.381,?,2.2716,?,0.9832,0.8949,2.4355,1.3504,1.5239,0.2402,0.875,0.2404,0.2013,?,2.3075,0.2552,0.4287,0.6773,0.7721,0.0014,0.1706,0.2514
./SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-bin_libsmbclient_vc1228502-tseitin.cnf,1,0.3503,0.6399,0.5383,0.3552,0.1443,0.2604,0.1487,0.2004,0.7876,?,0.5949,?,2.0293,?,0.9997,0.6495,2.5401,1.3327,1.4799,0.1187,0.9692,0.4998,0.1025,?,2.1823,0.365,0.4843,0.7402,0.4816,0.0449,0.0588,0.6919
./SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-bottom18.cnf,1,0.157,0.5943,0.5526,0.269,0.0393,0.1305,0.244,0.1808,0.7229,?,0.3813,?,2.2958,?,0.9882,0.8934,2.4545,1.3547,1.5243,0.2402,0.875,0.2404,0.2012,?,2.3203,0.3103,0.4305,0.678,0.764,0.0016,0.1705,0.5254
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.6142,0.8292,0.7335,0.5682,0.4453,0.1194,0.1496,0.1323,0.468,?,0.4435,?,2.8827,?,1,0.4113,2.9961,1.6206,1.7696,0.1457,0.9658,0.4444,0.1713,?,2.5155,0.1065,0.3756,0.692,0.6569,0.1894,0.1191,1.4866
./SAT09/APPLICATIONS/bitverif/maxor/maxor128.cnf,1,0.2573,0.5304,0.5153,0.2938,0.1464,0.2671,0.1814,0.214,0.826,?,0.5216,?,2.2843,?,0.9314,0.701,2.1095,1.221,1.3966,0.1325,0.8483,0.4592,0.1641,?,1.7529,0.6036,0.4387,0.7789,0.5965,0.01,0.0977,0
./SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.120-NOTKNOWN.cnf,1,0.9831,0.9944,0.9916,0.9602,0.9617,0.9602,0.3246,0.0581,0.9977,?,0.9602,?,1.7796,?,0.999,0.103,1.9226,0.1822,0.656,0.0741,0.9938,0.5,0.425,?,1.8472,0.3936,0.786,0.5086,0.5004,0.9474,0.0577,0
./SAT07/industrial/IBM_FV_2004_30/IBM_FV_2004_rule_batch_30_SAT_dat.k80.cnf,1,0.5813,0.9106,0.8414,0.5281,0.2011,0.5118,0.1635,0.1559,0.7262,?,0.603,?,3.2477,?,0.9909,0.6029,3.1956,1.5008,1.796,0.1254,0.9111,0.2649,0.2093,?,2.8203,0.2195,0.3633,1.0307,2.4849,0.0681,0.0677,0.1742
