@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.9626,0.1655,8,11,13,0,42,18.264,26,17,21,0.3876,1,3.3528,0.5855,0.237
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.468,1.6206,89,138,190,0.1194,1444,321.25,1294,210,241,0.6142,0.9658,2.8827,0.4444,0.0277
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0,0,4227,4227,4237,0,4397,4278.3,4397,4256,4356,0.1454,0.3171,2.8732,0.008,0.5591
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.9501,0.9825,0,0,0,0.6199,0,0,0,0,0,0.9963,1,4.0721,0.5,0.4145
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.9632,0.1632,4,5,6,0,21,8.2292,12,8,10,0.3897,1,3.3695,0.7541,0.2391
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.6785,0.8565,3790,3790,4115,0,4236,4132,4236,4214,4230,0.8077,0.954,3.8317,0.1319,0.3481
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.9663,0.1537,8,12,14,0,36,18.144,26,17,22,0.3832,1,3.3526,0.9025,0.2396
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.8731,1.0373,0,0,0,0.585,0,0,0,0,0,0.7644,0.8182,2.8426,0.1345,0.2523
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.6128,1.2175,495,568,716,0.2219,1028,781.73,1008,768,931,0.2087,0.7143,1.9442,0.2875,0.0786
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.9717,0.2542,0,0,0,0.9679,0,0,0,0,0,1,1,4.2266,1,0.2533
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.7264,1.7495,0,0,0,0.6339,0,0,0,0,0,0.8295,0.9824,4.2382,0.5,0.4208
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.8711,1.0619,550,550,571,0.4161,1045,664.75,1045,594,730,0.6957,0.9592,1.76,0.2171,0.1102
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.9732,0.4533,0,0,0,0.8788,0,0,0,0,0,0.9876,0.9766,0.6386,0.2259,0.1986
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.9662,0.163,3849,3849,3873,0,3962,3903.4,3962,3901,3953,0.3438,1,3.3039,0.3832,0.318
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0,0,3968,3968,4033,0,4373,4134,4373,4162,4373,0.061,0.1242,2.1181,0.0002,0.6357
SAT_Competition2009/RANDOM/MEDIUM/7SAT/SATISFIABLE/65/unif-k7-r89-v65-c5785-S1645769281-097.cnf,1,0,0,4397,4397,4406,0,4588,4477.5,4588,4509,4516,0.0483,0.0825,1.9119,0.0001,0.6863
SAT_RACE2006/SAT-Race-Benchmarks/velev-pipe-uns-1.0-9.cnf,1,0.9567,0.3769,0,0,0,0.9475,0,0,0,0,0,0.9999,1,4.2416,1,0.2162
SAT_Competition2007/crafted/Hard/contest02/ezfact64_5.sat05-452.reshuffled-07.cnf,1,0.2051,0.6155,730,730,838,0.0451,1376,1017,1376,955,1280,0.0188,0.2727,0.7217,0.1012,0.0498
SAT_Competition2007/random/OnTreshold/3SAT/v500/unif-k3-r4.26-v500-c2130-S1212545732-02.UNSAT.shuffled.cnf,1,0.9849,0.0803,3768,3768,3880,0,3976,3892.6,3976,3892,3961,0.3631,0.68,3.2495,0.3342,0.311
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,1,0.1035,0.3326,3428,3635,3683,0,4112,3820.3,4112,3858,3975,0,0,0,0.3797,0.9971
SAT_Competition2011/SAT11/random/large/unif-k3-r4.2-v30000-c126000-S926207202-053-UNKNOWN.cnf,1,0.9653,0.156,1,3,3,0,18,5.1825,9,5,6,0.3874,1,3.3665,0.7443,0.2247
SAT_Competition2007/crafted/Medium/contest05/sabharwal/counting-easier-php-012-010.sat05-1172.reshuffled-07.cnf,1,0.8121,0.5281,4779,4779,4797,0.8121,4891,4837.7,4891,4868,4869,0.8154,0,0,0.2198,0.8708
SAT_Competition2009/RANDOM/LARGE/5SAT/UNKNOWN/1000/unif-k5-r20-v1000-c20000-S1040507052-028.cnf,1,0,0,27,33,36,0,92,42.594,54,41,48,0.1523,0.3556,3.0209,0.0118,0.4764
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-c7bidw_i.cnf,1,0.4693,1.6207,206,245,312,0.1229,479,351.84,475,340,388,0.6206,0.9487,2.9052,0.443,0.0333
SAT_Competition2007/random/LargeSize/7SAT/v160/unif-k7-r85-v160-c13600-S187076430-06.cnf,1,0,0,4032,4032,4080,0,4388,4187.8,4388,4251,4388,0.0525,0.1172,2.0586,0.0002,0.6389
SAT_Competition2007/random/OnTreshold/5SAT/v130/unif-k5-r21.3-v130-c2769-S116991008-16.SAT.shuffled.cnf,1,0,0,4116,4116,4171,0,4437,4221.6,4437,4187,4353,0.1611,0.2889,2.9144,0.0121,0.5494
SAT_Competition2007/random/LargeSize/3SAT/v4000/unif-k3-r4.2-v4000-c16800-S1178874381-13.cnf,1,0.9595,0.1744,33,43,51,0,155,60.067,77,56,66,0.385,1,3.3669,0.6623,0.2529
SAT_RACE2006/SAT-Race-Benchmarks/manol-pipe-f10ni.cnf,1,0.483,1.7163,118,118,263,0.1298,395,266.25,395,289,395,0.6814,0.9699,2.8303,0.435,0.0328
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-17-u.cnf,1,0.8998,1.0226,75,75,75,0.5776,75,75,75,75,75,0.6352,0.8095,3.1127,0.2025,0.1311
SAT_Competition2011/SAT11/random/large/unif-k5-r20-v1250-c25000-S935783783-069-UNKNOWN.cnf,1,0,0,17,24,27,0,59,31.832,42,31,36,0.1532,0.3265,3.0231,0.0202,0.4732
SAT_Competition2011/SAT09/CRAFTED/sgi/satsgi-n26himBHm28-p0-q293.cnf,1,0.9822,0.0895,0,0,0,0.9822,0,0,0,0,0,0.9305,0.3421,0,0.0319,1
SAT_Competition2011/SAT11/random/medium/unif-k3-r4.26-v350-c1491-S648064606-012.UNKNOWN.cnf,1,0.9683,0.1406,3882,3882,3908,0,4090,3970.6,4090,3975,4036,0.3795,0.7647,3.318,0.2657,0.3376
SAT_Competition2011/SAT05/crafted/sorge05/QG6/dead-dnd002.shuffled-as.sat05-2713.cnf,1,0.1759,2.6115,256,641,1323,0.1019,2997,1802.8,2822,1711,2653,0.7482,1,2.6907,1,0.4373
