@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE SP_bias_q90 NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.9626,0.1655,8,11,13,0,42,18.264,26,17,21,0.3876,1,3.3528,0.5855,0.237,0.5705,0.2019,0.3926,0.3017,0.7045,0.0826,0.2338,0.719,0.4938,2.7143,1,0,0,0.1707,0.0802,0.4953
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.468,1.6206,89,138,190,0.1194,1444,321.25,1294,210,241,0.6142,0.9658,2.8827,0.4444,0.0277,0.7335,0.4453,0.5682,0.1491,0.8292,0.1894,0.1323,1.7696,0.4435,2.9961,1,0,0,0.1497,0.0778,0.3756
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0,0,4227,4227,4237,0,4397,4278.3,4397,4256,4356,0.1454,0.3171,2.8732,0.008,0.5591,0.2539,0.0675,0.1651,0.6975,0.3115,0.0394,0.0469,0.8309,0.1942,3.564,0.5494,0.0056,0.2,0.0616,0.0016,0.3774
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.9501,0.9825,0,0,0,0.6199,0,0,0,0,0,0.9963,1,4.0721,0.5,0.4145,0.9999,0.7945,0.8546,0.584,1,0.4754,0.0475,1.3557,0.9423,4.3618,1,0,0,0.2523,0.0032,0.529
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.9632,0.1632,4,5,6,0,21,8.2292,12,8,10,0.3897,1,3.3695,0.7541,0.2391,0.5731,0.206,0.3951,0.3044,0.7084,0.0862,0.2336,0.7172,0.4938,2.7118,1,0,0,0.1724,0.0799,0.4949
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.6785,0.8565,3790,3790,4115,0,4236,4132,4236,4214,4230,0.8077,0.954,3.8317,0.1319,0.3481,0.9033,0.4881,0.6752,0.5562,0.9387,0.2068,0.0405,0.7312,0.0646,4.6596,0.9902,0.0016,0.3333,0.3643,0.011,0.8204
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.9663,0.1537,8,12,14,0,36,18.144,26,17,22,0.3832,1,3.3526,0.9025,0.2396,0.5701,0.2058,0.3936,0.3052,0.7046,0.0864,0.2339,0.7103,0.4949,2.7124,1,0.0001,0,0.1686,0.0791,0.4961
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.8731,1.0373,0,0,0,0.585,0,0,0,0,0,0.7644,0.8182,2.8426,0.1345,0.2523,0.8447,0.2751,0.5835,0.6779,0.8866,0.0713,0.1733,1.3791,0.732,2.569,0.9626,0,0,0.1638,0.0156,0.3881
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.6128,1.2175,495,568,716,0.2219,1028,781.73,1008,768,931,0.2087,0.7143,1.9442,0.2875,0.0786,0.3782,0.0674,0.263,0.4262,0.6048,0.0373,0.1831,1.2995,0.6119,2.357,0.9697,0,0,0.1129,0.025,0.3356
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.9717,0.2542,0,0,0,0.9679,0,0,0,0,0,1,1,4.2266,1,0.2533,1,0.9965,0.9277,0.4803,1,0.7873,0.0143,0.416,0.9716,5.2325,1,0,0,0.2828,0,0.9393
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.7264,1.7495,0,0,0,0.6339,0,0,0,0,0,0.8295,0.9824,4.2382,0.5,0.4208,0.9448,0.4197,0.6786,0.8641,0.9759,0.15,0.0313,1.6811,0.7734,5.473,1,0,0,0.2984,0.0865,0.2514
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.8711,1.0619,550,550,571,0.4161,1045,664.75,1045,594,730,0.6957,0.9592,1.76,0.2171,0.1102,0.7286,0.5636,0.5567,0.3353,0.7511,0,0.2086,1.3213,0.5865,2.1911,0.9901,0,0,0.124,0.0496,0.444
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.9732,0.4533,0,0,0,0.8788,0,0,0,0,0,0.9876,0.9766,0.6386,0.2259,0.1986,0.9935,0.9849,0.9558,0.4518,0.9987,0.9636,0.0129,0.4809,0.9332,2.8077,1,0.0022,0,0.1323,0.0085,0.9204
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.9662,0.163,3849,3849,3873,0,3962,3903.4,3962,3901,3953,0.3438,1,3.3039,0.3832,0.318,0.5326,0.1756,0.3674,0.5531,0.682,0.0623,0.2306,0.7327,0.4859,2.7448,1,0.0005,0,0.1709,0.0679,0.5011
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0,0,3968,3968,4033,0,4373,4134,4373,4162,4373,0.061,0.1242,2.1181,0.0002,0.6357,0.0998,0.0284,0.0672,0.7355,0.1367,0.0117,0.0118,1.0093,0.0663,4.2485,0.2312,0.0028,0.1429,0.0244,0.0001,0.3155
