@RELATION 'FEATURE_VALUES-SAT12-ALL-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 6'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE BINARYp NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,0.9626,0.1655,8,11,13,0
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.468,1.6206,89,138,190,0.1194
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,0,0,4227,4227,4237,0
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.9501,0.9825,0,0,0,0.6199
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,0.9632,0.1632,4,5,6,0
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,1,0.6785,0.8565,3790,3790,4115,0
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,0.9663,0.1537,8,12,14,0
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.8731,1.0373,0,0,0,0.585
SAT_RACE2008/fuhs-aprove-15.cnf,1,0.6128,1.2175,495,568,716,0.2219
SAT-Race-2010-CNF/hardware-verification/velev/11pipe_k.cnf,1,0.9717,0.2542,0,0,0,0.9679
SAT_Competition2009/APPLICATION/SAT07/industrial/palacios/uts/uts-l05-ipc5-h27-unknown.cnf,1,0.7264,1.7495,0,0,0,0.6339
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/c32sat/post-c32s-ss-8.cnf,1,0.8711,1.0619,550,550,571,0.4161
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,1,0.9732,0.4533,0,0,0,0.8788
SAT_Competition2009/RANDOM/MEDIUM/3SAT/UNKNOWN/420/unif-k3-r4.25-v420-c1785-S1394036608-091.cnf,1,0.9662,0.163,3849,3849,3873,0
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/180/unif-k7-r85-v180-c15300-S1802626390-033.cnf,1,0,0,3968,3968,4033,0
