@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0.5464,0.1516,0.617,0.1798,0.2114,3.1176,0.6862,0.9325,0.7857,0.8261,0.967,0.1604,0.7382,0.5018,0.0301,1.2873
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.7723,0.148,0.8864,0.8083,0.0732,2.4849,0.8937,0.8207,0.9171,0.7037,0.9593,0.1209,0.6219,0.7935,0.0241,1.3838
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0263,0.0823,0.0021,0,0.1504,0.9857,0.4492,0.158,0.0363,0.1,1.6459,0.018,0.1326,0.0233,0.1391,2.1902
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.6348,0.0364,0.9987,0.9749,0.5,4.1231,0.5612,0.9588,1,1,0.9339,0.2696,0.9568,0.9129,0.2415,1.285
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.8161,0.0924,0.851,0.6619,0.4564,3.6748,0.9745,0.8665,0.897,0.75,0.9607,0.1792,0.8538,0.7493,0.0896,1.4683
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.0827,0.172,0.006,0.0002,0.2106,0.8461,0.1094,0.5338,0.0665,0.4,0.921,0.0385,0.5302,0.0777,0.0447,1.0399
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1194,0.1323,0.6142,0.4453,0.4444,2.8827,0.1491,0.468,0.7335,0.9658,1.6206,0.1496,0.4435,0.5682,0.1457,1.7696
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.4972,0.0308,0.808,0.594,0.5,3.9796,0.4217,0.9743,0.9971,0.9394,0.8854,0.297,0.9764,0.7709,0.4959,1.0885
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.6199,0.0475,0.9963,0.7945,0.5,4.0721,0.584,0.9501,0.9999,1,0.9825,0.2523,0.9423,0.8546,0.3595,1.3557
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.1582,0.196,0.5318,0.1536,0.2397,2.1233,0.3317,0.8331,0.5719,0.8925,1.1555,0.1801,0.4236,0.3949,0.1751,1.2752
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0.1331,0.172,0.1373,0.0189,0.5,2.0429,0.2083,0.7697,0.4033,0.7576,1.1342,0.1379,0.473,0.2217,0.5,1.3928
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0.1638,0.1943,0.1317,0.0109,0.3082,1.302,0.1729,0.6106,0.3408,0.7391,1.06,0.0643,0.6001,0.1929,0.0555,1.1565
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0.5503,0.1535,0.6119,0.1994,0.1983,3.1522,0.6838,0.9281,0.7836,0.8261,0.976,0.1578,0.7373,0.5065,0.0307,1.2983
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.3719,0.0774,0.8199,0.6945,0.4592,1.9719,0.3044,0.4899,0.8322,0.9695,1.819,0.2553,0.4298,0.7111,0.1038,2.0001
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.3838,0.1111,0.7019,0.3361,0.4725,2.8825,0.6998,0.5069,0.8535,0.8592,1.8901,0.238,0.4416,0.5993,0.2276,2.0589
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,0.585,0.1733,0.7644,0.2751,0.1345,2.8426,0.6779,0.8731,0.8447,0.8182,1.0373,0.1638,0.732,0.5835,0.0292,1.3791
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
