@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 2'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0.5464,0.1516
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.7723,0.148
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0263,0.0823
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.6348,0.0364
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.8161,0.0924
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.0827,0.172
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1194,0.1323
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.4972,0.0308
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.6199,0.0475
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,0.1582,0.196
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,0.1331,0.172
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,0.1638,0.1943
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,0.5503,0.1535
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,0.3719,0.0774
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,0.3838,0.1111
