@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,0.5464,0.1516,0.617,0.1798,0.2114,3.1176,0.6862,0.9325
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,0.7723,0.148,0.8864,0.8083,0.0732,2.4849,0.8937,0.8207
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.0263,0.0823,0.0021,0,0.1504,0.9857,0.4492,0.158
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,0.6348,0.0364,0.9987,0.9749,0.5,4.1231,0.5612,0.9588
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,0.8161,0.0924,0.851,0.6619,0.4564,3.6748,0.9745,0.8665
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.0827,0.172,0.006,0.0002,0.2106,0.8461,0.1094,0.5338
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,0.1194,0.1323,0.6142,0.4453,0.4444,2.8827,0.1491,0.468
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,0.4972,0.0308,0.808,0.594,0.5,3.9796,0.4217,0.9743
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,0.6199,0.0475,0.9963,0.7945,0.5,4.0721,0.584,0.9501
