@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ReliefFAttributeEval -M -1 -D 1 -K 10-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE DIAMETER_entropy NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,42,26,21,18.2639,17,13,11,8,0.0017,0.2285,0.3017,47.4048,41709,53.1653,42000,52
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,36,26,22,18.1437,17,14,12,8,0.002,0.1225,0.3052,47.0526,41760,54.1613,42000,52.5
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,4545,4545,4456,4416.4,4385,4358,4338,4338,0.0111,0,0.7503,28.3487,7120,28.5736,7120,28.372
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,924,751,535,499.84,435,398,380,338,0.0056,0.2671,0.3942,27.439,15027,29.8539,17354,28.5176
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,4287,4287,4287,3854.75,3864,3754,3514,3514,0.0117,0,0.7266,57.6995,17000,57.5305,17000,58.1688
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,4543,4543,4404,4362,4329,4298,4236,4236,0.0111,0,0.7487,31.09,8010,31.4722,8010,31.3501
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,4397,4397,4356,4278.25,4256,4237,4227,4227,0.0465,0.5153,0.6975,24.7383,2343,24.9297,2343,25.2758
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,4419,4419,4385,4277.375,4266,4227,4192,4192,0.0465,0.4006,0.704,24.6846,2343,25.2032,2343,25.4038
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,31,18,15,12.4356,11,9,7,5,0.0017,0.1615,0.3014,50.8182,54263,59.369,54600,59.1429
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,4646,4646,4587,4584,4579,4555,4553,4553,0.011,0,0.7737,19.6194,4450,19.7719,4450,19.7117
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,21,12,10,8.2292,8,6,5,4,0.001,0.5063,0.3044,57.6,75031,68.1287,75600,66.5833
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,4559,4559,4543,4432.6,4376,4360,4325,4325,0.0111,0,0.7539,26.8085,6675,26.9495,6675,26.958
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,4378,4378,4374,4253.875,4249,4202,4158,4158,0.0465,0.4627,0.7097,24.5667,2343,24.9022,2343,25.1176
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,4067,4067,3919,3772.7143,3736,3618,3595,3595,0.0197,0.0301,0.5247,33.0784,2744,34.658,2769,33.687
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,4446,4446,4349,4300.75,4286,4264,4231,4231,0.0465,0.6555,0.7094,22.925,2130,23.2729,2130,23.5079
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,2918,2918,2169,1845,2126,1281,1096,955,0.0092,0.6924,0.5327,35.8951,8079,39.2389,9344,40.6912
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,4304,4304,4304,4201.375,4173,4165,4148,4148,0.0466,0.0826,0.7022,26.9098,2662,27.8081,2662,28.073
