@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,2.334539,1.005425,0.994604,8.754888,1,68,2.321942,2.378528,553,0.022812,13.122966,8.754888,0.124774,0.992806,8.816327,2,1.897653,403.346335,19,0,-0.674054,24039,128230.632653,19.937865,1.981107,6.900542,0.32715,8.604235,4.372867,1.214625,234079,0.885226
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,2.343092,1.011894,0.988246,9.475733,1,32,2.315552,0.860448,1093,0.015858,33.954254,9.475733,0.030192,0.987342,24.551724,2,1.240943,254.232599,59,0,-0.035299,19189,364354.477833,21.623595,1.913015,3.875572,0.324728,9.354835,3.90288,1.100994,718797,0.98921
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,2.342583,1.01174,0.988397,9.475733,1,32,2.315401,0.924092,937,0.015857,29.922092,9.475733,0.035219,0.987342,24.551724,2,1.273294,254.232599,51,0,-0.058405,19189,315045.374384,21.622883,1.932083,3.965848,0.324635,9.354826,3.903807,1.101049,618853,0.986054
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016,135,0.956603,2.04644,1,0.47678,0.275362,0.4,0,1.499262,130.301639,6,14,-1.643858,58,568.846262,6.919871,3.242353,17.684211,0.612807,1.864841,1.444888,1.931658,1818,1.867133
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,2.658683,0.844311,1.184397,5.129283,5,109,3.148936,1.896642,83,0.864639,2.221557,1,0.652695,0.340426,0.5,0,1.192751,85.809962,3,9,-2.540555,35,275.116162,7.216897,3.273939,17.389222,0.732241,1.935767,1.502487,1.541775,826,1.68967
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,4.613636,0.875,1.142857,1.035221,1,1012,5.272727,0.148638,45,0.002828,7.403409,2,5.755682,0.006494,0.064516,2,0.919396,46.584963,10,0,-56.443755,6,160.973523,5.283019,0.948206,20.852273,0.272425,1.000229,0.593023,1.338086,356,1.697772
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,4.391813,0.871345,1.147651,1.035221,1,1012,5.040268,0.150733,45,0.002875,7.169591,2,5.923977,0.006711,0.08,2,0.91173,46.584963,9,0,-58.137527,6,156.185338,5.050906,1.09181,20.807018,0.280654,1.000236,0.604364,1.312548,346,1.817257
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,2.369684,0.705761,1.41691,8.806302,556,36,3.357629,4.518962,1458,0.033152,12.741427,11.399278,0.026063,1,4.625,2,0.759847,86.1418,24,0,0.839824,9472,41652.875,18.362076,1.876049,10.436214,0.204988,5.570396,1.659975,1.249189,79800,1.537596
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016,135,0.956603,2.04644,1,0.47678,0.275362,0.4,0,1.499262,130.301639,6,14,-1.643858,58,568.846262,6.919871,3.242353,17.684211,0.612807,1.864841,1.444888,1.931658,1818,1.867133
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,4.27003,0.922849,1.083601,6.210112,5,505,4.62701,2.663326,207,0.524348,6.72997,2,1.557864,0.495177,0.285714,2,0.954104,163.18438,21,2,-12.818364,701,4514.982966,15.1888,3.564783,20.189911,0.50823,3.085834,2.287016,1.199419,8891,1.563305
