@RELATION 'FEATURE_VALUES_COP-MZN-2013-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE v_avg_deg_vars NUMERIC
@ATTRIBUTE c_ratio_cons NUMERIC
@ATTRIBUTE v_ratio_vars NUMERIC
@ATTRIBUTE c_max_domdeg_cons NUMERIC
@ATTRIBUTE s_labeled_vars NUMERIC
@ATTRIBUTE v_num_consts NUMERIC
@ATTRIBUTE c_avg_deg_cons NUMERIC
@ATTRIBUTE v_cv_dom_vars NUMERIC
@ATTRIBUTE d_int_vars NUMERIC
@ATTRIBUTE c_cv_domdeg_cons NUMERIC
@ATTRIBUTE gr_avg_diam_vg NUMERIC
@ATTRIBUTE c_min_dom_cons NUMERIC
@ATTRIBUTE v_ratio_bounded NUMERIC
@ATTRIBUTE d_ratio_int_cons NUMERIC
@ATTRIBUTE v_min_domdeg_vars NUMERIC
@ATTRIBUTE gr_min_deg_vg NUMERIC
@ATTRIBUTE gr_cv_deg_vg NUMERIC
@ATTRIBUTE c_max_dom_cons NUMERIC
@ATTRIBUTE gr_max_diam_vg NUMERIC
@ATTRIBUTE gc_global_cons NUMERIC
@ATTRIBUTE v_ent_deg_vars NUMERIC
@ATTRIBUTE v_max_dom_vars NUMERIC
@ATTRIBUTE v_sum_domdeg_vars NUMERIC
@ATTRIBUTE c_avg_dom_cons NUMERIC
@ATTRIBUTE gr_ent_deg_cg NUMERIC
@ATTRIBUTE gr_avg_deg_vg NUMERIC
@ATTRIBUTE gr_avg_clust_cg NUMERIC
@ATTRIBUTE c_avg_domdeg_cons NUMERIC
@ATTRIBUTE v_ent_domdeg_vars NUMERIC
@ATTRIBUTE gr_cv_deg_cg NUMERIC
@ATTRIBUTE v_sum_dom_vars NUMERIC
@ATTRIBUTE c_ent_deg_cons NUMERIC
@ATTRIBUTE o_deg_avg NUMERIC
@ATTRIBUTE v_max_domdeg_vars NUMERIC
@ATTRIBUTE v_ent_dom_vars NUMERIC
@ATTRIBUTE v_avg_dom_vars NUMERIC
@ATTRIBUTE gr_ent_clust_cg NUMERIC
@ATTRIBUTE v_avg_domdeg_vars NUMERIC
@ATTRIBUTE v_cv_domdeg_vars NUMERIC
@ATTRIBUTE gr_ent_diam_vg NUMERIC
@ATTRIBUTE c_min_domdeg_cons NUMERIC
@ATTRIBUTE gr_cv_clust_cg NUMERIC
@ATTRIBUTE o_di_de NUMERIC
@ATTRIBUTE gr_ent_deg_vg NUMERIC
@ATTRIBUTE c_max_deg_cons NUMERIC
@ATTRIBUTE gc_cumulative NUMERIC
@ATTRIBUTE gr_min_diam_vg NUMERIC
@ATTRIBUTE v_max_deg_vars NUMERIC
@ATTRIBUTE gr_cv_diam_vg NUMERIC
@ATTRIBUTE c_ent_dom_cons NUMERIC
@ATTRIBUTE o_de_di NUMERIC
@ATTRIBUTE o_deg_std NUMERIC
@ATTRIBUTE v_def_vars NUMERIC
@ATTRIBUTE v_intro_vars NUMERIC
@ATTRIBUTE c_cv_dom_cons NUMERIC
@ATTRIBUTE o_de NUMERIC
@ATTRIBUTE c_cv_deg_cons NUMERIC
@ATTRIBUTE v_logprod_dom_vars NUMERIC
@ATTRIBUTE v_cv_deg_vars NUMERIC
@ATTRIBUTE o_dom NUMERIC
@ATTRIBUTE c_min_deg_cons NUMERIC
@ATTRIBUTE gc_ratio_globs NUMERIC
@ATTRIBUTE v_min_dom_vars NUMERIC
@ATTRIBUTE o_dom_std NUMERIC

@DATA
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff3.dzn,1,2.334539,1.005425,0.994604,8.754888,1,68,2.321942,2.378528,553,0.022812,13.122966,8.754888,0.124774,0.992806,8.816327,2,1.897653,403.346335,19,0,-0.674054,24039,128230.632653,19.937865,1.981107,6.900542,0.32715,8.604235,4.372867,1.214625,234079,0.885226,0.42835,24039,4.466809,423.289331,0.923018,231.881795,4.372153,2.979328,7.876517,1.386303,0.217391,1.838185,47,0,4,49,0.205447,5.451697,4.6,-0.338626,549,549,0.836131,46,0.838857,4735.798359,1.688148,24039,1,0,235,23.456077
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff63.dzn,1,2.343092,1.011894,0.988246,9.475733,1,32,2.315552,0.860448,1093,0.015858,33.954254,9.475733,0.030192,0.987342,24.551724,2,1.240943,254.232599,59,0,-0.035299,19189,364354.477833,21.623595,1.913015,3.875572,0.324728,9.354835,3.90288,1.100994,718797,0.98921,0.426786,19189,3.874394,657.63678,0.926504,333.352679,1.718294,4.80862,8.870365,1.360257,1.153846,1.768525,27,0,4,29,0.319494,4.750237,0.866667,-0.444649,1079,1079,0.379997,26,0.382336,10183.52397,1.289137,19189,1,0,468,32.748907
mznc12-problems/fast-food/fastfood.mzn_AND_mznc12-problems/fast-food/ff61.dzn,1,2.342583,1.01174,0.988397,9.475733,1,32,2.315401,0.924092,937,0.015857,29.922092,9.475733,0.035219,0.987342,24.551724,2,1.273294,254.232599,51,0,-0.058405,19189,315045.374384,21.622883,1.932083,3.965848,0.324635,9.354826,3.903807,1.101049,618853,0.986054,0.426879,19189,3.875324,660.462113,0.926504,336.227721,1.838811,4.584824,8.870365,1.360606,1,1.781549,27,0,4,29,0.306937,4.764253,1,-0.444897,925,925,0.402017,26,0.403801,8730.767402,1.288211,19189,1,0,468,30.358326
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/easy_01.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016,135,0.956603,2.04644,1,0.47678,0.275362,0.4,0,1.499262,130.301639,6,14,-1.643858,58,568.846262,6.919871,3.242353,17.684211,0.612807,1.864841,1.444888,1.931658,1818,1.867133,1.229695,18,0.364998,5.628483,0.978071,1.761134,0.86691,1.750986,1,0.699271,1.333333,3.414162,38,14,0,18,0.584606,2.469913,0.75,0.212432,120,120,2.445856,3,1.594535,424.914507,1.081264,54,1,0.050725,2,3.51493
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_02.dzn,1,2.658683,0.844311,1.184397,5.129283,5,109,3.148936,1.896642,83,0.864639,2.221557,1,0.652695,0.340426,0.5,0,1.192751,85.809962,3,9,-2.540555,35,275.116162,7.216897,3.273939,17.389222,0.732241,1.935767,1.502487,1.541775,826,1.68967,1.128378,10.666667,0.467609,4.946108,0.860427,1.647402,0.743316,1.354917,1,0.491469,1,3.346506,28,9,0,12,0.389131,2.381284,1,0.137466,68,68,2.010703,3,1.387051,228.809962,0.933895,32,1,0.06383,2,2.883904
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.2.dzn,1,4.613636,0.875,1.142857,1.035221,1,1012,5.272727,0.148638,45,0.002828,7.403409,2,5.755682,0.006494,0.064516,2,0.919396,46.584963,10,0,-56.443755,6,160.973523,5.283019,0.948206,20.852273,0.272425,1.000229,0.593023,1.338086,356,1.697772,0.216749,6,0.050557,2.022727,0.863121,0.914622,0.533807,2.110857,1,1.581138,0.113636,2.959287,45,0,5,31,0.179367,1.697772,8.8,-0.512219,110,110,1.123249,44,1.112036,177.584963,1.529134,6,2,0,2,13.228757
mznc12-problems/parity-learning/parity-learning.mzn_AND_mznc12-problems/parity-learning/44_22_5.3.dzn,1,4.391813,0.871345,1.147651,1.035221,1,1012,5.040268,0.150733,45,0.002875,7.169591,2,5.923977,0.006711,0.08,2,0.91173,46.584963,9,0,-58.137527,6,156.185338,5.050906,1.09181,20.807018,0.280654,1.000236,0.604364,1.312548,346,1.817257,0.227696,6,0.051791,2.023392,0.875472,0.913365,0.539809,2.042896,1,1.544786,0.090909,3.008259,45,0,5,25,0.170018,1.817257,11,-0.534702,105,105,1.114662,44,1.101634,172.584963,1.444362,6,2,0,2,13.038405
mznc12-problems/radiation/radiation.mzn_AND_mznc12-problems/radiation/m06_15_15.dzn,1,2.369684,0.705761,1.41691,8.806302,556,36,3.357629,4.518962,1458,0.033152,12.741427,11.399278,0.026063,1,4.625,2,0.759847,86.1418,24,0,0.839824,9472,41652.875,18.362076,1.876049,10.436214,0.204988,5.570396,1.659975,1.249189,79800,1.537596,0.421997,9472,0.907263,54.73251,0.431226,28.568501,8.667608,3.818351,5.209453,1.316656,0,2.129386,16,0,2,8,0.453546,1.549508,-1,-1.858694,902,902,0.740476,2,0.792204,8047.340591,0.310973,9472,2,0,37,38.075086
mznc12-problems/mspsp/mspsp.mzn_AND_mznc12-problems/mspsp/medium_03.dzn,1,2.439628,0.854489,1.17029,5.857981,5,154,2.855072,2.445016,135,0.956603,2.04644,1,0.47678,0.275362,0.4,0,1.499262,130.301639,6,14,-1.643858,58,568.846262,6.919871,3.242353,17.684211,0.612807,1.864841,1.444888,1.931658,1818,1.867133,1.229695,18,0.364998,5.628483,0.978071,1.761134,0.86691,1.750986,1,0.699271,1.333333,3.414162,38,14,0,18,0.584606,2.469913,0.75,0.212432,120,120,2.445856,3,1.594535,424.914507,1.081264,54,1,0.050725,2,3.51493
mznc12-problems/tpp/tpp.mzn_AND_mznc12-problems/tpp/tpp_3_5_20_1.dzn,1,4.27003,0.922849,1.083601,6.210112,5,505,4.62701,2.663326,207,0.524348,6.72997,2,1.557864,0.495177,0.285714,2,0.954104,163.18438,21,2,-12.818364,701,4514.982966,15.1888,3.564783,20.189911,0.50823,3.085834,2.287016,1.199419,8891,1.563305,0.23419,701,2.365588,26.382789,0.928643,13.397576,3.59156,2.816521,1,0.692972,0.028571,3.318525,37,0,3,27,0.470745,4.189744,35,-0.530212,250,270,1.433198,35,1.218064,985.13233,1.444347,701,1,0.006431,2,9.600911
