@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667,100,0.166667,6.666667,0.222222,0.091828,0.2,0.366667,324,0.364781,324,324,324,3,0.366667,6.666667,0.068493,3,324,324,3,3.24,32,0.133333,33,3
1-fullins-3-4.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667,100,0.166667,6.666667,0.222222,0.091828,0.2,0.366667,263,0.364781,263,263,263,4,0.366667,6.666667,0.068493,4,263,263,4,2.63,26,0.133333,27,4
1-fullins-4-4.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505,593,0.096774,12.752688,0.137126,0.039056,0.11828,0.344086,263,0.236605,263,263,263,4,0.344086,12.752688,0.059392,4,263,263,4,0.443508,26,0.064516,27,4
1-fullins-4-5.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505,593,0.096774,12.752688,0.137126,0.039056,0.11828,0.344086,184,0.236605,184,184,184,5,0.344086,12.752688,0.059392,5,184,184,5,0.310287,17,0.064516,21,5
1-fullins-5-4.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,263,0.147531,263,263,263,4,0.336879,23.028369,0.04681,4,263,263,4,0.080998,26,0.028369,27,4
1-fullins-5-5.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,184,0.147531,184,184,184,5,0.336879,23.028369,0.04681,5,184,184,5,0.056668,17,0.028369,21,5
1-fullins-5-6.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,169,0.147531,169,169,169,6,0.336879,23.028369,0.04681,6,169,169,6,0.052048,14,0.028369,18,6
1-insertions-4-3.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851,232,0.074627,6.925373,0.103364,0,0.089552,0.328358,324,0.352067,324,324,324,3,0.328358,6.925373,0.040141,3,324,324,3,1.396552,32,0.059701,33,3
1-insertions-4-4.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851,232,0.074627,6.925373,0.103364,0,0.089552,0.328358,263,0.352067,263,263,263,4,0.328358,6.925373,0.040141,4,263,263,4,1.133621,26,0.059701,27,4
1-insertions-5-4.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,263,0.243809,263,263,263,4,0.331683,12.148515,0.032959,4,263,263,4,0.214344,26,0.024752,27,4
1-insertions-5-5.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,184,0.243809,184,184,184,5,0.331683,12.148515,0.032959,5,184,184,5,0.149959,17,0.024752,21,5
