@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC
@ATTRIBUTE stats_conscount NUMERIC
@ATTRIBUTE normalised_width_of_graph NUMERIC
@ATTRIBUTE stats_cts_per_var_mean NUMERIC
@ATTRIBUTE normalised_mean_degree NUMERIC
@ATTRIBUTE clustering_coefficient NUMERIC
@ATTRIBUTE normalised_median_degree NUMERIC
@ATTRIBUTE normalised_width_of_ordering NUMERIC
@ATTRIBUTE stats_tightness_0 NUMERIC
@ATTRIBUTE stats_Local_Variance NUMERIC
@ATTRIBUTE stats_tightness_mean NUMERIC
@ATTRIBUTE stats_tightness_75 NUMERIC
@ATTRIBUTE stats_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_0 NUMERIC
@ATTRIBUTE normalised_maximum_degree NUMERIC
@ATTRIBUTE mean_degree NUMERIC
@ATTRIBUTE normalised_standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE stats_dom_50 NUMERIC
@ATTRIBUTE stats_tightness_25 NUMERIC
@ATTRIBUTE stats_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_25 NUMERIC
@ATTRIBUTE stats_tightness_mean_normalised NUMERIC
@ATTRIBUTE stats_literal_tightness_25 NUMERIC
@ATTRIBUTE normalised_minimum_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_50 NUMERIC
@ATTRIBUTE stats_dom_75 NUMERIC
@ATTRIBUTE stats_literal_tightness_0 NUMERIC
@ATTRIBUTE standard_deviation_of_node_degree NUMERIC
@ATTRIBUTE SAC_literals NUMERIC
@ATTRIBUTE stats_literal_tightness_75 NUMERIC
@ATTRIBUTE median_degree NUMERIC
@ATTRIBUTE stats_literal_tightness_100 NUMERIC
@ATTRIBUTE stats_dom_100 NUMERIC
@ATTRIBUTE width_of_ordering NUMERIC
@ATTRIBUTE stats_literal_tightness_coeff_of_variation NUMERIC
@ATTRIBUTE stats_literal_tightness_mean NUMERIC
@ATTRIBUTE maximum_degree NUMERIC
@ATTRIBUTE stats_dom_mean NUMERIC
@ATTRIBUTE normalised_SAC_literals NUMERIC
@ATTRIBUTE minimum_degree NUMERIC
@ATTRIBUTE width_of_graph NUMERIC
@ATTRIBUTE stats_sums_proportion NUMERIC
@ATTRIBUTE stats_unary_proportion NUMERIC
@ATTRIBUTE stats_lex_proportion NUMERIC
@ATTRIBUTE stats_lex_count NUMERIC
@ATTRIBUTE stats_table_proportion NUMERIC
@ATTRIBUTE stats_or_atleastk_count NUMERIC
@ATTRIBUTE stats_arity_75 NUMERIC
@ATTRIBUTE stats_arity_25 NUMERIC
@ATTRIBUTE stats_or_atleastk_proportion NUMERIC
@ATTRIBUTE stats_arity_100 NUMERIC
@ATTRIBUTE stats_arity_0 NUMERIC
@ATTRIBUTE stats_arity_50 NUMERIC
@ATTRIBUTE stats_sums_count NUMERIC
@ATTRIBUTE stats_alldiff_count NUMERIC
@ATTRIBUTE stats_dom_not2_2_ratio NUMERIC
@ATTRIBUTE stats_unary_count NUMERIC
@ATTRIBUTE stats_multi_shared_vars NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667,100,0.166667,6.666667,0.222222,0.091828,0.2,0.366667,324,0.364781,324,324,324,3,0.366667,6.666667,0.068493,3,324,324,3,3.24,32,0.133333,33,3,32,2.054805,0,35,6,35,3,11,0.037417,33.333333,11,3,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-fullins-3-4.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667,100,0.166667,6.666667,0.222222,0.091828,0.2,0.366667,263,0.364781,263,263,263,4,0.366667,6.666667,0.068493,4,263,263,4,2.63,26,0.133333,27,4,20,2.054805,0,27,6,27,4,11,0.116619,25,11,4,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-fullins-4-4.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505,593,0.096774,12.752688,0.137126,0.039056,0.11828,0.344086,263,0.236605,263,263,263,4,0.344086,12.752688,0.059392,4,263,263,4,0.443508,26,0.064516,27,4,20,5.523471,0,27,11,27,4,32,0.116619,25,32,4,0,6,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-fullins-4-5.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505,593,0.096774,12.752688,0.137126,0.039056,0.11828,0.344086,184,0.236605,184,184,184,5,0.344086,12.752688,0.059392,5,184,184,5,0.310287,17,0.064516,21,5,16,5.523471,0,23,11,23,5,32,0.148324,20,32,5,0,6,9,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-fullins-5-4.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,263,0.147531,263,263,263,4,0.336879,23.028369,0.04681,4,263,263,4,0.080998,26,0.028369,27,4,20,13.20055,0,27,20,27,4,95,0.116619,25,95,4,0,8,15,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-fullins-5-5.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,184,0.147531,184,184,184,5,0.336879,23.028369,0.04681,5,184,184,5,0.056668,17,0.028369,21,5,16,13.20055,0,23,20,23,5,95,0.148324,20,95,5,0,8,15,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-fullins-5-6.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092,3247,0.053191,23.028369,0.081661,0.016686,0.070922,0.336879,169,0.147531,169,169,169,6,0.336879,23.028369,0.04681,6,169,169,6,0.052048,14,0.028369,18,6,13,13.20055,0,19,20,20,6,95,0.153623,16.666667,95,6,0,8,15,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-4-3.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851,232,0.074627,6.925373,0.103364,0,0.089552,0.328358,324,0.352067,324,324,324,3,0.328358,6.925373,0.040141,3,324,324,3,1.396552,32,0.059701,33,3,32,2.689468,0,35,6,35,3,22,0.037417,33.333333,22,3,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-4-4.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851,232,0.074627,6.925373,0.103364,0,0.089552,0.328358,263,0.352067,263,263,263,4,0.328358,6.925373,0.040141,4,263,263,4,1.133621,26,0.059701,27,4,20,2.689468,0,27,6,27,4,22,0.116619,25,22,4,0,4,5,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
1-insertions-5-4.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901,1227,0.039604,12.148515,0.060141,0,0.049505,0.331683,263,0.243809,263,263,263,4,0.331683,12.148515,0.032959,4,263,263,4,0.214344,26,0.024752,27,4,20,6.657663,0,27,10,27,4,67,0.116619,25,67,4,0,5,8,0,0,0,0,0,0,2,2,0,2,2,2,0,0,0,0,0
