@RELATION 'Feature_CSP_2010-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 7'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE stats_table_count NUMERIC
@ATTRIBUTE stats_edge_density NUMERIC
@ATTRIBUTE stats_varcount NUMERIC
@ATTRIBUTE stats_branchingvars NUMERIC
@ATTRIBUTE stats_var_discrete NUMERIC
@ATTRIBUTE stats_arity_mean_normalised NUMERIC
@ATTRIBUTE stats_cts_per_var_mean_normalised NUMERIC

@DATA
1-fullins-3-3.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667
1-fullins-3-4.xml.watchless.minion.gz,1,0,0.229885,30,30,30,0.066667,0.066667
1-fullins-4-4.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505
1-fullins-4-5.xml.watchless.minion.gz,1,0,0.138616,93,93,93,0.021505,0.021505
1-fullins-5-4.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092
1-fullins-5-5.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092
1-fullins-5-6.xml.watchless.minion.gz,1,0,0.081951,282,282,282,0.007092,0.007092
1-insertions-4-3.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851
1-insertions-4-4.xml.watchless.minion.gz,1,0,0.10493,67,67,67,0.029851,0.029851
1-insertions-5-4.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901
1-insertions-5-5.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901
1-insertions-5-6.xml.watchless.minion.gz,1,0,0.06044,202,202,202,0.009901,0.009901
1-insertions-6-4.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295
1-insertions-6-5.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295
1-insertions-6-6.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295
1-insertions-6-7.xml.watchless.minion.gz,1,0,0.034455,607,607,607,0.003295,0.003295
2-fullins-3-4.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462
2-fullins-3-5.xml.watchless.minion.gz,1,0,0.151584,52,52,52,0.038462,0.038462
2-fullins-4-4.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434
2-fullins-4-5.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434
2-fullins-4-6.xml.watchless.minion.gz,1,0,0.072476,212,212,212,0.009434,0.009434
2-fullins-5-4.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347
2-fullins-5-5.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347
2-fullins-5-6.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347
2-fullins-5-7.xml.watchless.minion.gz,1,0,0.033656,852,852,852,0.002347,0.002347
