@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 128'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC
@ATTRIBUTE directorder_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_TRINARY+ NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE csp_perten_avg_predarity NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE csp_dyn_log_propags NUMERIC
@ATTRIBUTE csp_log_values NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_reducedClauses NUMERIC
@ATTRIBUTE support_TRINARY+ NUMERIC
@ATTRIBUTE directorder_VG-mean NUMERIC
@ATTRIBUTE csp_percent_min_continuity NUMERIC
@ATTRIBUTE support_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_vars-clauses-ratio NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE csp_percent_avg_continuity NUMERIC
@ATTRIBUTE support_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE csp_log_extra_ranges NUMERIC
@ATTRIBUTE direct_BINARY+ NUMERIC
@ATTRIBUTE csp_log_lists NUMERIC
@ATTRIBUTE support_BINARY+ NUMERIC
@ATTRIBUTE csp_log_constraints NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE directorder_VG-max NUMERIC
@ATTRIBUTE csp_percent_wsum NUMERIC
@ATTRIBUTE csp_max_arity NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE csp_dyn_log_nodes NUMERIC
@ATTRIBUTE support_horn-clauses-fraction NUMERIC
@ATTRIBUTE support_VCG-VAR-mean NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE csp_percent_global NUMERIC
@ATTRIBUTE directorder_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_VCG-VAR-max NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-entropy NUMERIC
@ATTRIBUTE support_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE csp_log_bits NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-stdev NUMERIC
@ATTRIBUTE csp_dyn_log_avg_weight NUMERIC
@ATTRIBUTE csp_percent_gac_predicate NUMERIC
@ATTRIBUTE csp_log_extra_booleans NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE csp_log_ranges NUMERIC
@ATTRIBUTE csp_dyn_log_stdev_weight NUMERIC
@ATTRIBUTE direct_reducedClauses NUMERIC
@ATTRIBUTE directorder_CG-featuretime NUMERIC
@ATTRIBUTE csp_log_search_vars NUMERIC
@ATTRIBUTE support_VG-mean NUMERIC
@ATTRIBUTE support_reducedClauses NUMERIC
@ATTRIBUTE directorder_VG-coeff-variation NUMERIC
@ATTRIBUTE directorder_VCG-VAR-entropy NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-entropy NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE support_VG-min NUMERIC
@ATTRIBUTE direct_TRINARY+ NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-min NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-coeff-variation NUMERIC
@ATTRIBUTE directorder_nvarsOrig NUMERIC
@ATTRIBUTE direct_VCG-CLAUSE-max NUMERIC
@ATTRIBUTE support_VCG-VAR-entropy NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-mean NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-coeff-variation NUMERIC
@ATTRIBUTE directorder_nclausesOrig NUMERIC
@ATTRIBUTE support_VCG-VAR-max NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-entropy NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE direct_HORNY-VAR-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-min NUMERIC
@ATTRIBUTE directorder_nclauses NUMERIC
@ATTRIBUTE support_reducedVars NUMERIC
@ATTRIBUTE support_VG-max NUMERIC
@ATTRIBUTE support_nvarsOrig NUMERIC
@ATTRIBUTE direct_nvarsOrig NUMERIC
@ATTRIBUTE csp_log_booleans NUMERIC
@ATTRIBUTE direct_nclausesOrig NUMERIC
@ATTRIBUTE direct_horn-clauses-fraction NUMERIC
@ATTRIBUTE directorder_CG-mean NUMERIC
@ATTRIBUTE direct_HORNY-VAR-entropy NUMERIC
@ATTRIBUTE directorder_VG-min NUMERIC
@ATTRIBUTE direct_VG-mean NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_VCG-VAR-mean NUMERIC
@ATTRIBUTE support_VCG-VAR-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-max NUMERIC
@ATTRIBUTE directorder_VCG-VAR-min NUMERIC
@ATTRIBUTE direct_VG-max NUMERIC
@ATTRIBUTE direct_vars-clauses-ratio NUMERIC
@ATTRIBUTE directorder_CG-min NUMERIC
@ATTRIBUTE direct_VCG-VAR-entropy NUMERIC
@ATTRIBUTE directorder_CG-max NUMERIC
@ATTRIBUTE directorder_nvars NUMERIC
@ATTRIBUTE directorder_Basic-featuretime NUMERIC
@ATTRIBUTE directorder_VCG-CLAUSE-min NUMERIC
@ATTRIBUTE direct_VCG-VAR-min NUMERIC
@ATTRIBUTE support_VG-coeff-variation NUMERIC
@ATTRIBUTE support_POSNEG-RATIO-VAR-max NUMERIC
@ATTRIBUTE directorder_cluster-coeff-max NUMERIC
@ATTRIBUTE direct_reducedVars NUMERIC
@ATTRIBUTE csp_percent_alldiff NUMERIC
@ATTRIBUTE support_HORNY-VAR-min NUMERIC
@ATTRIBUTE direct_VG-min NUMERIC
@ATTRIBUTE directorder_Pre-featuretime NUMERIC
@ATTRIBUTE support_VCG-VAR-coeff-variation NUMERIC
@ATTRIBUTE csp_percent_cumulative NUMERIC
@ATTRIBUTE directorder_cluster-coeff-coeff-variation NUMERIC
@ATTRIBUTE directorder_KLB-featuretime NUMERIC
@ATTRIBUTE direct_POSNEG-RATIO-CLAUSE-min NUMERIC
@ATTRIBUTE directorder_HORNY-VAR-mean NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,0.660065,3.651416,0.479653,0.825556,0.816869,0.976668,0.293021,0.777778,0.20904,?,0.944361,?,?,0.006536,0.567514,0.324843,1.656538,0.979207,0.001901,?,0.673224,0.24905,0.801513,0.751209,0.292424,?,2.476587,?,0.536267,?,0.536267,?,0.439007,2.628313,0.004341,?,?,0.744636,2.31674,?,0.844536,0.001445,0.001445,0.751209,?,0.476199,0.38341,0.004205,0.223239,0.801513,0.006897,?,0.223239,?,?,?,0.439007,?,?,1.382979,0.08,?,0.001726,1.457447,0.572062,2.585756,2.741564,0,0.000725,0.979207,0,0.292424,8540,0.006897,2.695727,0.38341,0.499301,19584,0.003748,0.744636,0.833333,0.000242,0.000271,7372,1.882759,0.003627,5016,5016,?,19712,0.844536,0.001746,2.476587,0.000678,0.001726,0.001404,0.001404,0.000604,0.002713,0.000678,0.003627,0.210348,0.000407,2.695727,0.018584,1836,0,0.001089,0.000604,0.507818,0.833333,0.7,1.882759,?,0.000242,0.000725,0.05,0.559339,?,0.57204,0.01,0,0.00109
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,0.651508,3.484095,0.483508,0.835832,0.76434,0.987506,0.297583,0.789474,0.206463,?,0.930218,?,?,0.006461,0.579817,0.328985,1.598451,0.989001,0.00177,?,0.69182,0.251374,0.752187,0.754216,0.29602,?,2.455032,?,0.545315,?,0.545315,?,0.435713,2.610938,0.004123,?,?,0.712568,2.284446,?,0.855477,0.001326,0.001326,0.754216,?,0.480723,0.392928,0.003373,0.222688,0.752187,0.0069,?,0.222688,?,?,?,0.435713,?,?,1.33106,0.08,?,0.001597,1.402332,0.599616,2.546167,2.649289,0,0.00066,0.989001,0,0.29602,9022,0.0069,2.631777,0.392928,0.512696,20798,0.00297,0.712568,0.84,0.00033,0.000375,8004,1.81104,0.00341,5296,5296,?,21194,0.855477,0.001573,2.455032,0.000625,0.001597,0.001275,0.001275,0.00055,0.002624,0.000625,0.00341,0.207215,0.000375,2.631777,0.018491,2012,0,0.000994,0.00055,0.529249,0.84,0.7,1.81104,?,0.00033,0.00066,0.06,0.574302,?,0.578279,0.02,0,0.001007
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,0.656667,3.620413,0.481471,0.827353,0.769644,0.987059,0.282691,0.764706,0.203573,?,0.924554,?,?,0.006307,0.573834,0.32901,1.703235,0.988341,0.001983,?,0.652395,0.256471,0.760522,0.750221,0.282438,?,2.414206,?,0.532856,?,0.532856,?,0.439869,2.595134,0.004559,?,?,0.71809,2.248823,?,0.844462,0.001526,0.001526,0.750221,?,0.467997,0.38525,0.003971,0.219396,0.760522,0.006691,?,0.219396,?,?,?,0.439869,?,?,1.423158,0.06,?,0.001823,1.50053,0.558529,2.471178,2.727812,0,0.000795,0.988341,0,0.282438,8058,0.006691,2.604988,0.38525,0.485077,18382,0.003577,0.71809,0.826087,0.000397,0.000441,6800,1.880779,0.003842,4736,4736,?,18290,0.844462,0.001816,2.414206,0.000735,0.001823,0.001471,0.001471,0.000662,0.002794,0.000735,0.003842,0.217806,0.000441,2.604988,0.018382,1744,0,0.001147,0.000662,0.4899,0.826087,0.7,1.880779,?,0.000397,0.000795,0.05,0.546532,?,0.563104,0.01,0,0.001149
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,52.294304,0.661915,3.042629,0.462559,0.844235,0.767897,0.98773,0.321339,0.846154,0.213428,29.825949,0.914008,22.250256,14.238703,0.001992,0.559734,0.336567,1.222393,0.989765,0.000371,100,0.949205,0.226453,0.752484,0.766356,0.317192,100,2.589215,12.544482,0.551701,-1,0.551701,12.319672,0.418256,2.646799,0.001263,-1,35,0.681587,2.34107,11.584023,0.870071,0.000258,0.000258,0.766356,0,0.654877,0.397922,0.001038,0.224379,0.752484,0.002078,-1,0.224379,6.588144,47.705696,-1,0.418256,-1,8.325831,1.042821,1.07,12.212496,0.000316,1.090382,0.815449,2.672379,2.83351,0,0.000113,0.989765,0,0.317192,40588,0.002078,2.841234,0.397922,0.695827,98532,0.000865,0.681587,0.9,0.000038,0.000045,44336,1.456359,0.001016,23640,23640,9.714246,108580,0.870071,0.000366,2.589215,0.000113,0.000316,0.000257,0.000257,0.000094,0.000722,0.000113,0.001016,0.181066,0.000068,2.841234,0.008774,10040,0.01,0.000199,0.000094,0.754775,0.9,0.7,1.456359,-1,0.000038,0.000113,0.5,0.816502,-1,0.679238,0.37,0,0.000206
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,52.413793,0.662032,3.076241,0.449685,0.83071,0.745359,0.990874,0.29908,0.826087,0.207762,29.832512,0.905148,22.330623,13.919794,0.002153,0.56079,0.333778,1.325718,0.992154,0.000455,100,0.842843,0.241808,0.740949,0.758938,0.297968,100,2.453363,12.225207,0.526881,-1,0.526881,12.000704,0.42557,2.603671,0.001501,-1,28,0.679863,2.208289,12.23721,0.854457,0.000329,0.000329,0.758938,0,0.616617,0.388754,0.001286,0.218561,0.740949,0.002227,-1,0.218561,7.601634,47.586207,-1,0.42557,-1,9.707798,1.102417,0.57,11.893302,0.000399,1.155863,0.732722,2.567531,2.699489,0,0.000158,0.992154,0,0.297968,32186,0.002227,2.73884,0.388754,0.606099,75944,0.001106,0.679863,0.878788,0.000079,0.000092,32654,1.46043,0.001237,18778,18778,9.392317,79854,0.854457,0.000462,2.453363,0.000153,0.000399,0.000328,0.000328,0.000132,0.000766,0.000153,0.001237,0.200937,0.000092,2.73884,0.008024,7896,0.01,0.000253,0.000132,0.669593,0.878788,0.7,1.46043,-1,0.000079,0.000158,0.3,0.74263,-1,0.631598,0.17,0,0.000259
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,52.866242,0.659588,3.142299,0.443348,0.826689,0.748011,0.990547,0.295157,0.826087,0.206536,29.766454,0.906368,22.338246,13.811776,0.002372,0.562843,0.331598,1.380052,0.991833,0.0005,100,0.814901,0.245513,0.74537,0.755553,0.294703,100,2.459983,12.120238,0.519115,-1,0.519115,11.890264,0.428764,2.591751,0.00161,-1,26,0.683011,2.203308,12.635038,0.850278,0.000363,0.000363,0.755553,0,0.604699,0.386366,0.001439,0.217006,0.74537,0.002451,-1,0.217006,8.392287,47.133758,-1,0.428764,-1,10.294978,1.135992,0.42,11.78627,0.00044,1.191739,0.715549,2.550192,2.705066,0,0.000178,0.991833,0,0.294703,29692,0.002451,2.717152,0.386366,0.582556,69488,0.001243,0.683011,0.870968,0.000089,0.000103,29196,1.498847,0.001332,17332,17332,9.285402,72188,0.850278,0.00051,2.459983,0.000171,0.00044,0.000362,0.000362,0.000148,0.000856,0.000171,0.001332,0.205231,0.000103,2.717152,0.007809,7168,0,0.000279,0.000148,0.652664,0.870968,0.7,1.498847,-1,0.000089,0.000178,0.27,0.722037,-1,0.623064,0.15,0,0.000284
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,52.09826,0.663327,3.177639,0.447443,0.827035,0.776151,0.985395,0.299404,0.833333,0.209201,29.662231,0.916379,22.453396,13.854284,0.002312,0.558025,0.3309,1.36466,0.987416,0.000488,100,0.829021,0.240749,0.768292,0.757162,0.298627,100,2.495726,12.160502,0.523898,-1,0.523898,11.938844,0.427522,2.607351,0.001572,-1,27,0.697848,2.247766,12.120886,0.850968,0.000353,0.000353,0.757162,0,0.607346,0.385778,0.001506,0.219206,0.768292,0.002385,-1,0.219206,7.456181,47.90174,-1,0.427522,-1,9.529843,1.130975,0.47,11.82893,0.000427,1.186107,0.719549,2.6054,2.768094,0,0.000169,0.987416,0,0.298627,30714,0.002385,2.775007,0.385778,0.596036,72212,0.001298,0.697848,0.875,0.000056,0.000065,30538,1.514871,0.001298,17926,17926,9.33985,75526,0.850968,0.000497,2.495726,0.000164,0.000427,0.000354,0.000354,0.000141,0.000819,0.000164,0.001298,0.201117,0.000098,2.775007,0.008023,7352,0.01,0.000272,0.000141,0.658627,0.875,0.7,1.514871,-1,0.000056,0.000169,0.26,0.728299,-1,0.628814,0.15,0,0.000277
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,0.646067,3.416667,0.481201,0.841616,0.765146,0.9879,0.307091,0.809524,0.209304,?,0.933322,?,?,0.006579,0.584632,0.329536,1.532627,0.989517,0.001602,?,0.738036,0.246327,0.751018,0.755148,0.3046,?,2.549873,?,0.550543,?,0.550543,?,0.433981,2.602402,0.004213,?,?,0.707889,2.360935,?,0.862785,0.001173,0.001173,0.755148,?,0.498845,0.397869,0.002917,0.224411,0.751018,0.007062,?,0.224411,?,?,?,0.433981,?,?,1.279109,0.1,?,0.001427,1.345751,0.645619,2.596976,2.730888,0,0.000562,0.989517,0,0.3046,10070,0.007062,2.681685,0.397869,0.544859,23442,0.002902,0.707889,0.851852,0.000281,0.000324,9256,1.779661,0.003463,5904,5904,?,24350,0.862785,0.001405,2.549873,0.00054,0.001427,0.001127,0.001127,0.000468,0.002485,0.00054,0.003463,0.198802,0.000324,2.681685,0.018475,2280,0,0.000877,0.000468,0.575699,0.851852,0.7,1.779661,?,0.000281,0.000562,0.07,0.610309,?,0.598913,0.02,0,0.000897
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,52.663934,0.662973,3.211032,0.448351,0.827309,0.777142,0.985224,0.300169,0.833333,0.209541,29.661885,0.916689,22.390748,13.857592,0.002333,0.558339,0.330922,1.379749,0.987276,0.000493,100,0.829477,0.240369,0.768839,0.757404,0.299301,100,2.506381,12.166791,0.524938,-1,0.524938,11.938109,0.427167,2.609208,0.001583,-1,27,0.697,2.259649,11.909518,0.851284,0.000357,0.000357,0.757404,0,0.606948,0.386344,0.001517,0.219729,0.768839,0.002409,-1,0.219729,7.159019,47.336066,-1,0.427167,-1,8.714405,1.143547,0.46,11.83289,0.000432,1.198989,0.71955,2.611825,2.771955,0,0.00017,0.987276,0,0.299301,30690,0.002409,2.781344,0.386344,0.597451,72154,0.001307,0.697,0.875,0.000057,0.000066,30320,1.538549,0.001307,17912,17912,9.33985,75470,0.851284,0.0005,2.506381,0.000165,0.000432,0.000357,0.000357,0.000142,0.000825,0.000165,0.001307,0.200409,0.000099,2.781344,0.00808,7288,0,0.000274,0.000142,0.658517,0.875,0.7,1.538549,-1,0.000057,0.00017,0.26,0.727517,-1,0.629585,0.15,0,0.000279
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,51.226994,0.669053,3.45073,0.436277,0.806444,0.753923,0.989021,0.262862,0.764706,0.19902,32.392638,0.897477,22.166801,13.228819,0.002509,0.552982,0.328171,1.637232,0.990043,0.000766,100,0.642607,0.261575,0.755399,0.746465,0.264899,100,2.270791,11.537218,0.488745,-1,0.488745,11.326429,0.438613,2.493205,0.002029,-1,18,0.698635,2.068874,12.549785,0.824459,0.000593,0.000593,0.746465,0,0.560055,0.3716,0.002506,0.209147,0.755399,0.002561,-1,0.209147,8.059077,48.773006,-1,0.438613,-1,9.792346,1.331602,0.2,11.207014,0.000703,1.402165,0.571078,2.405508,2.620721,0,0.000325,0.990043,0,0.264899,19512,0.002561,2.537006,0.3716,0.465943,44200,0.002273,0.698635,0.826087,0.000162,0.000179,16760,1.66108,0.00184,11432,11432,8.754888,43088,0.824459,0.000825,2.270791,0.000298,0.000703,0.000594,0.000594,0.000271,0.001134,0.000298,0.00184,0.232468,0.000179,2.537006,0.007458,4384,0,0.000456,0.000271,0.509404,0.826087,0.7,1.66108,-1,0.000162,0.000325,0.15,0.619107,-1,0.5667,0.06,0,0.000452
