@RELATION 'feature_values_proteus_2014-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE csp_perten_avg_predshape NUMERIC
@ATTRIBUTE csp_perten_avg_predsize NUMERIC
@ATTRIBUTE csp_sqrt_max_domsize NUMERIC
@ATTRIBUTE csp_sqrt_avg_domsize NUMERIC
@ATTRIBUTE csp_percent_dec_predicate NUMERIC
@ATTRIBUTE directorder_POSNEG-RATIO-CLAUSE-mean NUMERIC
@ATTRIBUTE directorder_reducedVars NUMERIC
@ATTRIBUTE directorder_BINARY+ NUMERIC

@DATA
bool/routing/s3-3-3-4.xml,1,?,?,?,?,?,0.660065,3.651416,0.479653
bool/routing/s3-3-3-3.xml,1,?,?,?,?,?,0.651508,3.484095,0.483508
bool/routing/s3-3-3-1.xml,1,?,?,?,?,?,0.656667,3.620413,0.481471
bool/routing/s4-4-3-10.xml,1,43.196203,46.186709,1.414214,1.414214,52.294304,0.661915,3.042629,0.462559
bool/routing/s4-4-3-7.xml,1,43.093596,46.187192,1.414214,1.414214,52.413793,0.662032,3.076241,0.449685
bool/routing/s4-4-3-6.xml,1,42.929936,46.072187,1.414214,1.414214,52.866242,0.659588,3.142299,0.443348
bool/routing/s4-4-3-3.xml,1,43.172979,45.957011,1.414214,1.414214,52.09826,0.663327,3.177639,0.447443
bool/routing/s3-3-3-2.xml,1,?,?,?,?,?,0.646067,3.416667,0.481201
bool/routing/s4-4-3-2.xml,1,43.002049,45.932377,1.414214,1.414214,52.663934,0.662973,3.211032,0.448351
bool/routing/s4-4-3-8.xml,1,44.355828,51.779141,1.414214,1.414214,51.226994,0.669053,3.45073,0.436277
bool/routing/s4-4-3-9.xml,1,43.349169,46.072842,1.414214,1.414214,51.781473,0.661665,3.049318,0.463802
bool/routing/s4-4-3-4.xml,1,43.082061,46.001908,1.414214,1.414214,52.480916,0.664207,3.164738,0.454356
bool/routing/s3-3-3-5.xml,1,?,?,?,?,?,0.649799,3.575975,0.489597
bool/routing/s4-4-3-5.xml,1,43.284133,45.97786,1.414214,1.414214,51.845018,0.661912,3.092734,0.45823
bool/routing/s4-4-3-1.xml,1,43.106509,46.104536,1.414214,1.414214,52.366864,0.661693,3.095761,0.450919
bool/ii/ii-16e2.xml,1,3.819552,41.550796,1.414214,1.414214,93.634079,0.511912,0.884513,0.401338
bool/ii/ii-8b1.xml,1,?,?,?,?,?,0.578858,4.6498,0.471888
bool/ii/ii-32c1.xml,1,?,?,?,?,?,0.464117,0.744196,0.348551
bool/ii/ii-8d1.xml,1,?,?,?,?,?,0.556236,3.570593,0.459762
bool/ii/ii-16a1.xml,1,4.710248,24.250642,1.414214,1.414214,92.149586,0.521317,3.295422,0.458073
bool/ii/ii-32c3.xml,1,4.714165,19.608561,1.414214,1.414214,92.143058,0.463872,0.677344,0.347834
bool/ii/ii-8c2.xml,1,?,?,?,?,?,0.553153,4.023025,0.471446
bool/ii/ii-32b4.xml,1,3.131936,19.18208,1.414214,1.414214,94.780107,0.463795,0.687569,0.347999
bool/ii/ii-16e1.xml,1,4.665542,41.512085,1.414214,1.414214,92.224096,0.513133,0.884606,0.40218
bool/ii/ii-32b2.xml,1,5.555161,20.294431,1.414214,1.414214,90.741398,0.463912,0.729627,0.348466
bool/ii/ii-32e5.xml,1,2.576082,19.518013,1.414214,1.414214,95.706531,0.46372,0.767464,0.349025
bool/ii/ii-32c2.xml,1,6.145619,20.12752,1.414214,1.414214,89.757302,0.463938,0.682309,0.347864
bool/ii/ii-8b3.xml,1,?,?,?,?,?,0.577836,4.550882,0.471508
bool/ii/ii-8a2.xml,1,?,?,?,?,?,0.578641,2.521501,0.437088
bool/ii/ii-8c1.xml,1,?,?,?,?,?,0.559904,3.211945,0.452243
bool/ii/ii-16d1.xml,1,4.30798,30.768782,1.414214,1.414214,92.820034,0.51219,1.32079,0.414698
bool/ii/ii-16c1.xml,1,5.252951,30.442733,1.414214,1.414214,91.245082,0.509688,1.370353,0.414623
bool/ii/ii-8b4.xml,1,?,?,?,?,?,0.57773,4.698163,0.474405
bool/ii/ii-8a1.xml,1,?,?,?,?,?,0.558071,3.675862,0.419291
bool/ii/ii-32e1.xml,1,?,?,?,?,?,0.464125,0.719964,0.348244
bool/ii/ii-32e3.xml,1,3.700935,19.592523,1.414214,1.414214,93.831776,0.463812,0.715979,0.348344
bool/ii/ii-16b2.xml,1,3.754143,26.834913,1.414214,1.414214,93.743095,0.512173,1.914788,0.425626
bool/ii/ii-32d2.xml,1,4.362066,20.680223,1.414214,1.414214,92.72989,0.465014,0.936415,0.356276
bool/ii/ii-32e2.xml,1,5.31696,20.361766,1.414214,1.414214,91.1384,0.463898,0.755165,0.34879
bool/ii/ii-8e2.xml,1,?,?,?,?,?,0.558419,3.222497,0.45781
bool/ii/ii-16b1.xml,1,3.909502,26.618401,1.414214,1.414214,93.484163,0.513006,1.950855,0.430603
bool/ii/ii-32e4.xml,1,3.098892,19.237955,1.414214,1.414214,94.83518,0.46379,0.695385,0.348099
bool/ii/ii-16a2.xml,1,?,?,?,?,?,0.520844,3.505997,0.462055
bool/ii/ii-32b3.xml,1,3.433081,19.276554,1.414214,1.414214,94.278198,0.46381,0.68703,0.347985
bool/ii/ii-8a3.xml,1,?,?,?,?,?,0.577525,2.407171,0.435598
bool/ii/ii-8e1.xml,1,?,?,?,?,?,0.558387,3.373979,0.461085
bool/ii/ii-8a4.xml,1,?,?,?,?,?,0.577096,2.047871,0.427278
bool/ii/ii-16d2.xml,1,3.772279,30.915244,1.414214,1.414214,93.712868,0.512023,1.31224,0.411646
bool/ii/ii-32b1.xml,1,?,?,?,?,?,0.464108,0.76969,0.348872
bool/ii/ii-8d2.xml,1,?,?,?,?,?,0.554702,3.796677,0.466692
bool/ii/ii-32d3.xml,1,2.435228,19.934982,1.414214,1.414214,95.941287,0.464776,0.885942,0.355406
bool/ii/ii-16c2.xml,1,3.764514,29.168194,1.414214,1.414214,93.72581,0.512069,1.493457,0.415915
bool/ii/ii-32d1.xml,1,?,?,?,?,?,0.465301,0.987437,0.357025
bool/ii/ii-8b2.xml,1,?,?,?,?,?,0.577965,4.575962,0.472456
bool/ii/ii-32a1.xml,1,2.847689,20.042395,1.414214,1.414214,95.253852,0.463667,0.897672,0.350654
bool/ii/ii-32c4.xml,1,2.106286,18.53892,1.414214,1.414214,96.489524,?,?,?
bool/mps/mps-neos16.xml,1,58.877456,96.688494,1.414214,1.414214,64.826941,0.525034,0.87908,0.389118
bool/mps/mps-p0282.xml,1,?,?,?,?,?,0.381098,0.421093,0.089958
bool/mps/mps-gt2.xml,1,?,?,?,?,?,?,?,?
bool/mps/mps-air06.xml,1,4.317073,30.018293,1.414214,1.414091,99.207317,?,?,?
bool/mps/mps-p6000.xml,1,?,?,?,?,?,?,?,?
bool/mps/mps-air03.xml,1,?,?,?,?,?,?,?,?
bool/mps/mps-neos18.xml,1,?,?,?,?,?,0.51289,7.658275,0.414984
bool/mps/mps-aflow30a.xml,1,54.551148,304.812109,1.414214,1.414214,100,?,?,?
bool/mps/mps-diamond.xml,1,?,?,?,?,?,0,-512,-512
bool/mps/mps-10teams.xml,1,0.882353,17.647059,1.414214,1.374369,100,0.578959,0.716566,0.481785
bool/mps/mps-p0548.xml,1,?,?,?,?,?,?,?,?
