@RELATION 'feature_values_qbf_2011-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 8'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE FORALL_POS_LITS_PER_CLAUSE NUMERIC
@ATTRIBUTE EXIST_VARS_PER_SET NUMERIC
@ATTRIBUTE OCCP_OCCN NUMERIC
@ATTRIBUTE LITN_LIT NUMERIC
@ATTRIBUTE OCCS_POS_NO_PER_VAR NUMERIC
@ATTRIBUTE POS_HORN NUMERIC
@ATTRIBUTE NEG_HORN_CLAUSE NUMERIC
@ATTRIBUTE TOTAL_VARS NUMERIC

@DATA
adder-10-sat-shuffled,1,1.053282,592.5,0.282784,0.779554,3.154891,1630,0.010986,1840
adder-10-unsat-shuffled,1,0.377808,761.5,0.170238,0.854527,3.134015,1630,0.001096,1858
adder-12-sat-shuffled,1,1.053268,861,0.264487,0.790835,3.16967,2364,0.009067,2664
adder-12-unsat-shuffled,1,0.377757,1100,0.152968,0.867327,3.151899,2364,0.000754,2686
adder-14-sat-shuffled,1,1.053205,1179.5,0.248711,0.800826,3.179945,3234,0.007719,3640
adder-14-unsat-shuffled,1,0.377683,1500.5,0.138979,0.877979,3.164484,3234,0.00055,3666
adder-16-unsat-shuffled,1,0.377608,1963,0.127387,0.887007,3.173822,4240,0.000419,4798
Adder2-10-s-shuffled,1,0.217819,2474.666667,0.79594,0.556811,1.313716,7829,0.726821,7969
Adder2-4-s-shuffled,1,0.214947,361.666667,0.796548,0.556623,1.300598,1139,0.72669,1171
Adder2-6-c-shuffled,1,0.144914,651.5,0.797047,0.556468,1.308137,2695,0.726373,2765
Adder2-6-s-shuffled,1,0.216597,856.666667,0.79617,0.55674,1.308137,2705,0.726783,2765
adder-4-sat-shuffled,1,1.049057,87,0.370044,0.729904,3,244,0.030189,280
adder-6-sat-shuffled,1,1.052423,205.5,0.331842,0.75084,3.091049,570,0.019063,648
adder-8-sat-shuffled,1,1.053136,374,0.30458,0.766531,3.131849,1032,0.013937,1168
adder-8-unsat-shuffled,1,0.377768,485,0.192241,0.838756,3.106599,1032,0.001737,1182
aim-100-1_6-yes1-3-50-shuffled,1,0.306905,177,0.681185,0.594819,1.722467,700,0.530691,454
aim-100-1_6-yes1-3-90-shuffled,1,0.360902,138,0.670363,0.598672,1.768617,583,0.506767,376
aim-100-2_0-yes1-2-50-shuffled,1,0.317073,198,0.679395,0.595453,1.90121,843,0.52492,496
aim-100-2_0-yes1-2-90-shuffled,1,0.359375,161,0.670968,0.598456,1.971564,732,0.50601,422
aim-100-3_4-yes1-1-90-shuffled,1,0.367626,230,0.668912,0.599193,2.482143,1219,0.504317,560
aim-100-6_0-yes1-1-90-shuffled,1,0.369092,362,0.667948,0.599539,2.951456,2142,0.498561,824
aim-100-6_0-yes1-3-90-shuffled,1,0.370066,361,0.668132,0.599473,2.958637,2134,0.501645,822
aim-100-6_0-yes1-4-90-shuffled,1,0.369852,361,0.668043,0.599505,2.952555,2135,0.500412,822
aim-200-1_6-yes1-2-90-shuffled,1,0.360387,281,0.670829,0.598505,1.762467,1193,0.503351,762
aim-200-1_6-yes1-4-90-shuffled,1,0.359643,282,0.6715,0.598265,1.757853,1188,0.509308,764
