@RELATION 'FEATURE_VALUES-SAT11-HAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 32'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE SP_bias_q25 NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE SP_bias_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE SP_bias_q10 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC

@DATA
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_399.cnf,1,0.0124,0.0782,0.6646,1.0967,0.6552,0.1022,0.8082,0.9218,0.6491,0.0293,3.5574,15.6807,22.2967,10.9159,0,0.265,0.105,0.71,37.9667,37.8226,38.1864,0.6249,38.1864,23.9398,21294,37.891,21294,0.689,38.1864,37.8226,37.8226,0.0149
./SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1,0,0.0097,0.0908,0.017,0.6053,0.3918,0.7036,0,0.0445,0.1301,1.6542,5.7333,1.8382,6.7141,0,0.1668,0.1176,0.1227,20.5678,19.2126,21.7036,0.0429,21.4716,1.031,29282,20.9786,29282,0.1459,21.7036,18.2995,18.2995,0.0718
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden3k/VanDerWaerden_2-3-20_389.cnf,1,0,0.0915,0.6469,1.0759,0.7026,0.1062,0.7939,0.9085,0.6431,0.0159,2.9895,34.2936,21.2099,23.3456,0,0.1884,0.0514,0.6901,51.5407,49.8067,58.886,0.6343,51.5394,23.5432,41426,50.7683,41426,0.6566,62.3743,48.9554,47.2687,0.1709
./SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1,0.9439,0.9439,0.8219,1.6272,0.7613,0.019,0.8762,0.9439,0.8116,0.0042,2.7898,207.891,35.6272,22.5385,0.0417,0.9589,0.0348,0.832,51.4256,47.1034,67.3557,0.7761,52.022,41.2197,109920,50.387,111739,0.8322,69.625,45.5938,44.0117,0.2533
./SAT11/crafted/spence/sgen/sgen3-n200-s39840374-sat.cnf,1,0.8333,0.675,0.5831,0.4472,0.6708,0.0001,0.8324,0.8333,0.5831,0.0125,0,4.0352,1.1006,7.0228,0,0.2313,0.025,0.5832,36.3925,34.8915,40.9846,0.5831,38.0412,0.5805,480,36.5026,480,0.5832,40.9846,32.4055,32.4055,0.0088
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q255-n25-p30-s39712998.cnf,1,0.972,0.972,0.8761,1.8403,0.8729,0.0203,0.9554,0.972,0.8649,0.0063,2.9852,11.9732,31.1851,24.2363,0.039,11.8928,0.0811,0.8878,68.9673,67.0736,78.5192,0.8144,78.5192,31.8335,44572,73.2541,45238,0.8904,78.5192,57.0222,57.0222,0.755
./SAT11/crafted/skvortsov/battleship/battleship-15-15-unsat.cnf,1,0.875,0.875,0.7475,1.186,0.8259,0.0002,0.8672,0.875,0.7474,0.0161,0,14.2288,3.4182,14.8967,0,0.078,0.0667,0.7476,76.9212,72.2519,83.7463,0.7473,83.7463,2.5406,1800,74.7654,1800,0.7476,83.7463,72.2519,72.2519,0.0047
./SAT11/crafted/skvortsov/battleship/battleship-10-10-unsat.cnf,1,0.8182,0.8182,0.6721,0.8932,0.7824,0.0001,0.8174,0.8182,0.6721,0.0345,0,7.8199,2.5267,8.3109,0,0.0956,0.1,0.6722,34.2879,34.2412,35.387,0.672,35.387,2.0526,550,34.7516,550,0.6722,35.387,32.7716,32.7716,0.0024
./SAT11/crafted/anton/SRHD-SGI/srhd-sgi-m27-q225-n25-p30-s70617701.cnf,1,0.9668,0.9668,0.8687,1.8272,0.8406,0.0218,0.9515,0.9668,0.8555,0.0062,2.8638,14.5795,33.2679,50.1405,0.0387,13.6648,0.0805,0.8774,69.9892,66.3086,76.3785,0.7881,76.3785,36.4759,50102,67.2804,50773,0.8792,76.3785,66.3086,66.3086,0.6173
./SAT11/crafted/kullmann/VanDerWaerden/VanderWaerden_pd_3k/VanDerWaerden_pd_2-3-21_404.cnf,1,0.003,0.0831,0.6578,1.105,0.6994,0.1015,0.8173,0.9169,0.6446,0.0296,3.3642,17.5204,22.543,10.558,0,0.2858,0.104,0.7059,45.7407,40.5477,49.049,0.6291,49.049,24.7775,22023,47.6253,22023,0.6842,49.049,40.5477,40.5477,0.0179
./SAT03/handmade/stanion/hwb/hwb-n30-02-S77299857.shuffled-as.sat03-1633.cnf,1,0.0047,0.3424,0.0007,0.2548,0.4676,2.5823,0.934,0.3768,0.0003,0.0806,0.4406,4.458,1.2997,5.0736,0.3957,0.4312,0.0504,0.0251,26.3131,25.3229,27.6767,0,26.8427,0.9793,844,26.4121,954,0.0029,27.6767,24.9333,24.9333,0.0148
./SAT11/crafted/spence/sgen/sgen3-n170-s56409011-unsat.cnf,1,0,0.4888,0.0026,0,0.7878,1.7821,0.9625,1,0.0008,0.0253,0.2209,1.1161,0.6854,2.7912,0,0.5579,0.0173,0.0281,23.4383,21.7369,27.2694,0,23.7839,0.4058,356,22.594,356,0.0107,27.2694,21.4828,21.4828,0.0666
./SAT03/handmade/anton/UNSAT/SGI_30_50_30_20_5-log.shuffled-as.sat03-111.cnf,1,0,0.0105,0.0886,0.0165,0.5127,0.6385,0.6443,0,0.0004,0.1131,1.5326,9.7488,1.1552,10.4022,0,0.1789,0.0667,0.1157,17.8289,15.7149,23.3741,0.0002,19.6128,0.6999,55222,16.878,55222,0.0979,23.3741,15.6726,15.6245,0.2024
./SAT11/crafted/mosoi/289/289-unsat-6x40.cnf,1,0.0152,0.7538,0.4251,0.5846,0.774,0.0002,0.8664,0.0152,0.425,0.0082,0,20.6012,11.6955,20.037,0.3333,0.0108,0.0167,0.4251,28.8228,26.7907,31.3586,0.425,31.0847,11.5795,47520,29.0299,48480,0.4251,34.762,25.8554,25.6211,1.1173
./SAT03/handmade/gomes/bqwh/bqwh.50.825.shuffled-as.sat03-1648.cnf,1,0.9443,0.7188,0.7644,0.4568,0.4517,0.0932,0.7013,0.947,0.7097,0.0007,2.5469,196.581,2.4735,138.3,0,0.3587,0.0024,0.7946,25.2998,21.5465,32.1681,0.1221,28.3841,2.9634,43754,24.0455,43754,0.8099,44.3182,19.3545,17.4112,0.3552
./SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,1,0,0.231,0.0355,0.1105,0.6533,0.5914,0.7689,0.0262,0.0179,0.1643,1.4434,2.9395,1.8582,3.62,0,0.3712,0.1667,0.0696,0,0,0,0.007,0,1.4998,420,0,420,0.0704,0,0,0,0
