@RELATION 'FEATURE_VALUES-SAT11-RANDOM-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE cl_size_q25 NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE cl_size_min NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE gsat_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE saps_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinRatio_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC

@DATA
SAT11/random/large/unif-k3-r4.2-v15000-c63000-S980027332-029-UNKNOWN.cnf,1,62536,0.0002,63000,0,56.4,263.417,64.8077,63,79.3077,109.1667,11.1792,783.125,0.0011,49.5,74.1818,15000,0.0001,8,7,5,11,0.0004,0.0001,17,14607,3174.92,3167,21,3221,0.0002,0.0002,0.0004,3132,2786.38,3217,3187,0.0006,36,0.9577,13,0.0135,0.0004,0.2001,0.4043,0.2304,0.2336,0,0.2906,1.3476,5.0899,0.3326,0.0894,0.147,0.3501,0.7135,0.0284,0.0923,0.1749,0.0474,0,0.0083,0.0795,0.5537,3.3644
SAT11/random/medium/unif-k3-r4.26-v700-c2982-S942849-099.UNKNOWN.cnf,1,2973,0.0043,2982,140,34.3506,22.4568,36.1175,35.3213,40.6055,40.6055,3645.1429,28.7795,0.0188,33.1688,38.2519,700,0.002,3472,3462,3462,3688,0.0057,0.0022,3810,692,151.736,152,3810,164,0.0044,0.0044,0.0058,140,151.591,163,152,0.0098,33.1688,0.2021,3711,0.0655,0.0086,0.0646,0.0623,0.2994,0.2328,0.001,0.5045,0.2041,4.0145,0.033,0.2811,0.4415,0.0322,0.7851,0.025,0.0865,0.1666,0.043,0,0.0398,0.0714,0.3567,3.3421
SAT11/random/medium/unif-k3-r4.26-v450-c1917-S1008065350-031.UNKNOWN.cnf,1,1907,0.0068,1917,89,24.2236,13.8122,25.9144,25.7924,29.0163,29.0163,3902.8571,16.9488,0.0288,23.5001,27.694,450,0.0052,3818,3793,3793,3869,0.0084,0.0034,4049,439,97.759,98,4049,107,0.0069,0.0069,0.0091,88,97.803,107,98,0.0147,23.5001,0.1976,4036,0.0742,0.0136,0.0693,0.0723,0.3212,0.2302,0.0026,0.533,0.2541,4,0.0241,0.3571,0.2403,0.0383,0.3322,0.0255,0.0842,0.1675,0.0404,0,0.0364,0.0696,0.3659,3.3049
SAT11/random/large/unif-k7-r85-v400-c34000-S536077088-015-UNKNOWN.cnf,1,34000,0.0175,34000,57,54.2262,32.6548,57.7886,57.2143,65.0226,66.8647,84.2564,33.2124,0.0117,52.451,60.6076,400,0.0117,70,67,57,79,0.0016,0.0011,112,400,65.7976,65.5,133,76,0.0175,0.0175,0.0175,56,65.768,75,65,0.0194,51.6173,0.2585,93,0.109,0.0117,0.0719,0.1217,0.6048,0.0118,0.0154,0.702,0.1639,2.0401,0.214,0.9441,0.1547,0.0541,0.0003,0.0001,0.0001,0.0001,0.0001,0.0007,0.0448,0.0001,0.4339,2.1705
SAT11/random/medium/unif-k7-r89-v90-c8010-S51928934-076.SATISFIABLE.cnf,1,8010,0.0778,8010,12,31.7124,10.3075,31.7052,31.7829,32.4376,32.4376,4385.25,10.5034,0.0111,30.8879,32.4376,90,0.0111,4290,4289,4289,4435,0.0069,0.0049,4527,90,15.4183,15,4527,19,0.0778,0.0778,0.0778,12,15.3984,19,15,0.0841,30.8879,0.2967,4527,0.1904,0.0111,0.0174,0.1876,0.6615,0.0112,0.0699,0.7641,0.2451,2,0.0231,1.6974,0.2429,0.09,0.0002,0,0.0001,0.0001,0,0.0025,0.0872,0.0001,0.4046,2.1754
SAT11/random/medium/unif-k7-r89-v50-c4450-S1880985555-004.UNKNOWN.cnf,1,4450,0.14,4450,6,19.7482,6.3286,19.9056,19.8762,20.3076,20.3076,4570.6,6.8357,0.011,19.6339,19.9622,50,0.011,4537,4499,4499,4557,0.0126,0.0089,4659,50,8.9003,9,4659,12,0.14,0.14,0.14,6,8.8815,12,9,0.1501,19.6339,0.3427,4601,0.2308,0.011,0.0115,0.2328,0.7054,0.0112,0.1312,0.776,0.2951,2,0.0121,1.9658,0.302,0.1145,0.0001,0,0.0001,0.0001,0,0.0056,0.1161,0.0001,0.423,1.9928
SAT11/random/large/unif-k5-r20-v1250-c25000-S871131876-087-UNKNOWN.cnf,1,25000,0.004,25000,223,56.5625,56.827,61.3601,61.0385,70.5217,78.7619,33.217,68.0332,0.0184,53.5484,65.3429,1250,0.0097,27,23,19,32,0.0014,0.0007,44,1250,238.281,239,71,255,0.004,0.004,0.004,223,239.251,255,240,0.0058,45.907,0.2235,37,0.0895,0.0137,0.1074,0.0516,0.4728,0.05,0.0027,0.5866,0.14,3,0.2711,0.3383,0.3438,0.0262,0.02,0.001,0.0027,0.0047,0.0015,0.0003,0.078,0.0023,0.776,2.9756
SAT11/random/medium/unif-k3-r4.26-v550-c2343-S960198064-030.SATISFIABLE.cnf,1,2337,0.0055,2343,111,28.8614,14.1506,30.9712,29.5637,37.2312,37.2312,3822.4286,16.9422,0.0218,26.9066,34.7504,550,0.0043,3736,3674,3674,3817,0.0073,0.0028,4014,544,120.724,121,4014,132,0.0055,0.0055,0.0074,110,120.957,131,121,0.0116,26.9066,0.2165,3906,0.0713,0.0109,0.1092,0.0689,0.3111,0.2328,0.0021,0.619,0.2981,4,0.0281,0.3202,0.2667,0.0344,0.3393,0.026,0.0949,0.1813,0.0466,0.0004,0.034,0.0839,0.3846,3.3429
SAT11/random/medium/unif-k7-r89-v70-c6230-S1018943457-089.SATISFIABLE.cnf,1,6230,0.1,6230,9,25.8541,8.4841,25.9461,25.9741,26.2427,26.2427,4469,8.7252,0.0111,25.4551,26.2046,70,0.0111,4400,4395,4395,4447,0.0095,0.0069,4607,70,12.1768,12,4607,15,0.1,0.1,0.1,9,12.1057,15,12,0.1104,25.4551,0.3104,4496,0.2097,0.0111,0.011,0.2083,0.6771,0.0112,0.0894,0.7565,0.2654,2,0.0175,1.8323,0.2711,0.0989,0.0002,0,0.0001,0.0001,0,0.0045,0.0986,0.0001,0.4218,2.1293
SAT11/random/medium/unif-k3-r4.26-v800-c3408-S1536861174-069.SATISFIABLE.cnf,1,3387,0.0039,3408,160,28.6412,19.5296,32.4931,30.6303,40.0484,40.1961,1585.625,24.6923,0.0192,26.6508,37.9676,800,0.003,839,724,695,1136,0.005,0.0019,3206,779,171.73,172,3369,184,0.0039,0.0039,0.0077,159,172.325,185,172,0.0097,26.0026,0.2133,2697,0.0652,0.0078,0.1492,0.0569,0.299,0.23,0.0015,0.4884,0.2621,4.0167,0.5855,0.2634,0.2811,0.0297,0.408,0.0272,0.0914,0.1818,0.0446,0.0003,0.0339,0.0757,0.4266,3.3549
