@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,3.1176,0.5964,0.1604,2.5426,2.8918,0.2387,0.5959,616629,0.0301,0.1516,0,0.0001,0.2114,0,0,0.5311
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,2.4849,1.5385,0.1209,0.151,2.7096,0.135,0.5504,14230,0.0241,0.148,0.0073,0.0162,0.0732,0.0006,0.0013,1.5995
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.9857,0.9107,0.018,0.25,2.9039,0.0097,0.6498,19440,0.1391,0.0823,0.0011,0.0092,0.1504,0.0004,0.0003,0.7779
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,4.1231,13.386,0.2696,0.0781,4.354,0.4831,1.3035,13262068,0.2415,0.0364,0.0083,0.0165,0.5,0,0,9.197
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,3.6748,1.3945,0.1792,0.3878,3.8663,0.2206,1.0757,11329,0.0896,0.0924,0.0357,0.0792,0.4564,0.0017,0.0007,1.178
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.8461,0.5099,0.0385,1.4463,2.571,0.0194,0.5185,115706,0.0447,0.172,0.0002,0.0005,0.2106,0.0001,0,0.4984
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.8827,2.0163,0.1496,4.9941,2.9961,0.1713,1.7597,247614,0.1457,0.1323,0.0071,0.0142,0.4444,0,0,2.377
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,3.9796,1.1802,0.297,0.1674,5.004,0.3855,1.8786,998052,0.4959,0.0308,0.0012,0.0022,0.5,0.0001,0,1.2443
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,4.0721,6.6383,0.2523,0.1323,4.3618,0.4428,1.3191,1789068,0.3595,0.0475,0.0099,0.0199,0.5,0,0,4.6846
SAT_Competition2011/SAT11/application/fuhs/slp-synthesis-AES/slp-synthesis-aes-top21.cnf,1,2.1233,1.8479,0.1801,1.7399,2.1745,0.1568,1.5509,95209,0.1751,0.196,0.0016,0.0045,0.2397,0.0001,0.0001,1.7304
SAT_Competition2011/SAT03/industrial/schuppan/l2s/dme-03-1-k247-unsat.shuffled-as.sat03-407.cnf,1,2.0429,1.3113,0.1379,3.7759,2.5669,0.1168,0.8564,318163,0.5,0.172,0.0004,0.001,0.5,0,0,1.4221
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/aprove09/AProVE09-06.cnf,1,1.302,1.0802,0.0643,1.0597,1.9732,0.0441,2.1993,193019,0.0555,0.1943,0.0031,0.0033,0.3082,0,0,1.8532
SAT-Race-2010-CNF/mixed/anbulagan/dated-10-19-u.cnf,1,3.1522,0.5994,0.1578,2.5898,2.9225,0.2388,0.5961,447274,0.0307,0.1535,0.0001,0.0001,0.1983,0,0,0.5438
SAT-Race-2010-CNF/software-verification/bitverif/minxorminand128.cnf,1,1.9719,1.9974,0.2553,10.0823,2.743,0.147,1.4871,179278,0.1038,0.0774,0.0014,0.0039,0.4592,0.0001,0,2.0361
SAT_Competition2009/APPLICATION/SAT09/APPLICATIONS/bitverif/minor/minor064.cnf,1,2.8825,1.5188,0.238,6.4492,3.3061,0.221,1.0689,17622,0.2276,0.1111,0.0039,0.0196,0.4725,0.0005,0.0004,1.5715
SAT_Competition2011/SAT07/industrial/anbulagan/hard-sat/partial-10-17-s.cnf,1,2.8426,0.5454,0.1638,0.9868,2.569,0.2625,0.5132,868292,0.0292,0.1733,0,0,0.1345,0,0,0.5361
SAT_Competition2007/industrial/industrial/babic/dspam/dspam_dump_vc1080.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/fuhs-aprove-15.cnf,1,1.9442,0.7131,0.1129,2.3864,2.357,0.0735,1.2355,34035,0.074,0.1831,0.0079,0.0112,0.2875,0.0003,0.0001,1.0258
SAT_Competition2011/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf,1,1.471,2.5291,0.207,0.2585,1.8012,0.3877,1.1089,63826,0.0471,0.083,0.0104,0.0107,0.1496,0.0008,0.0003,2.8796
SAT_Competition2011/SAT07/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,0.1565,2.1373,2.733,0.2499,0.4511,248601,0.0322,0.178,0.0001,0.0002,0.2053,0,0,0.4571
SAT_Competition2011/SAT07/industrial/anbulagan/medium-unsat/dated-5-11-u.cnf,1,3.0944,0.4013,0.1552,2.1871,2.6926,0.2522,0.4251,185161,0.0323,0.1843,0.0002,0.0002,0.2037,0,0,0.4279
SAT-Race-2010-CNF/hardware-verification/velev/2dlx_ca_bp_f_liveness.cnf,1,4.0238,9.1027,0.2372,0.0753,4.077,0.5002,1.8279,4281700,0.1988,0.0439,0.0033,0.0068,0.5,0,0,7.206
SAT_RACE2006/SAT-Race_TS_2/velev-pipe-sat-1.1-03.cnf,1,4.0371,3.3798,0.3273,0.7117,5.2307,0.5141,2.3481,4556456,0.3607,0.0178,0.0011,0.0043,0.5,0,0,2.4637
SAT-Race-2010-CNF/software-verification/nec/hard-0-U-7061.cnf,1,3.0198,2.5235,0.1655,5.2587,3.1072,0.1496,1.9106,277657,0.1094,0.1611,0.0045,0.0097,0.4377,0,0,1.6879
SAT_RACE2008/ibm-2002-18r-k90.cnf,1,3.5936,1.2092,0.1598,2.2488,3.62,0.22,1.0416,396985,0.0871,0.1359,0.0004,0.0008,0.3401,0,0,1.2791
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/dated-5-13-u.cnf,1,3.0829,0.4451,0.1565,2.1373,2.733,0.2499,0.4511,248601,0.0321,0.178,0.0001,0.0002,0.2055,0,0,0.4571
SAT_Competition2007/industrial/industrial/anbulagan/hard-unsat/partial-5-15-u.cnf,1,2.8925,0.4866,0.1624,1.0622,2.5651,0.2652,0.4772,590731,0.0308,0.1789,0,0.0001,0.1485,0,0,0.4875
SAT_Competition2007/industrial/industrial/babic/xinetd/itox_vc1044.cnf,1,1.6082,3.0847,0.0874,3.0716,1.7815,0.0915,2.1576,136385,0.0791,0.2186,0.0038,0.0248,1,0,0,2.1243
SAT_RACE2006/SAT-Race_TS_1/velev-pipe-1.1-05.cnf,1,4.0371,3.3798,0.3273,0.7117,5.2304,0.5141,2.3481,4556496,0.3607,0.0178,0.0011,0.0043,0.5,0,0,2.4637
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_3_keyfind_1.cnf,1,1.782,0.291,0.0691,0.5733,2.6635,0.0509,0.28,2204,0.1317,0.2042,0.0059,0.0154,0.135,0.0032,0.0023,0.3008
SAT_Competition2011/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-eijkbs6669-tseitin.cnf,1,2.0203,0.6056,0.0712,2.3211,2.7282,0.061,1.0087,279680,0.1155,0.2072,0.0003,0.0005,0.438,0,0,0.8703
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/32/aes_32_4_keyfind_1.cnf,1,1.7705,0.2829,0.0683,0.515,2.6419,0.0501,0.2773,2976,0.1317,0.2023,0.0044,0.0114,0.135,0.0024,0.0017,0.2931
SAT_Competition2011/SAT11/application/rintanen/SATPlanning/blocks-blocks-36-0.170-NOTKNOWN.cnf,1,1.6649,1.9072,0.326,0.2666,1.7591,0.4263,0.6947,9579475,0.0733,0.0571,0.0004,0.0004,0.5,0,0,2.1746
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-sat/partial-10-15-s.cnf,1,2.898,0.5067,0.1634,1.092,2.5698,0.2637,0.4918,708950,0.0301,0.176,0,0.0001,0.1588,0,0,0.5009
SAT_Competition2011/SAT11/application/manthey/traffic/traffic_r_uc_sat.cnf,1,2.7564,0.8793,0.0605,0.0308,4.0874,0.0726,0.942,4453032,0.3457,0.1019,0,0.0001,0.5,0,0,0.7653
SAT_Competition2007/industrial/industrial/anbulagan/hard-sat/partial-5-17-s.cnf,1,2.821,0.5444,0.1635,0.9554,2.5548,0.2625,0.5111,742042,0.0298,0.1739,0,0.0001,0.1312,0,0,0.5372
SAT-Race-2010-CNF/mixed/anbulagan/dated-5-11-u.cnf,1,3.0944,0.4013,0.1552,2.1871,2.6926,0.2522,0.4251,185161,0.0323,0.1843,0.0002,0.0002,0.2037,0,0,0.4279
SAT-Race-2010-CNF/software-verification/nec/hard-2-U-9007.cnf,1,3.2658,3.4805,0.1921,6.9416,3.2201,0.2178,3.268,440409,0.4009,0.1531,0.0018,0.0049,0.5,0,0,2.7759
SAT_RACE2006/SAT-Race_TS_1/velev-vliw-sat-2.0-04.cnf,1,4.0219,3.6567,0.2414,0.1772,4.8329,0.3373,3.4105,7992369,0.5,0.025,0.0059,0.0062,0.5,0,0,3.7814
