@RELATION 'FEATURE_VALUES-SAT12-INDU-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE VCG_VAR_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE reducedVars NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE VG_min NUMERIC
@ATTRIBUTE HORNY_VAR_coeff_variation NUMERIC
@ATTRIBUTE SP_bias_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE SP_bias_q50 NUMERIC
@ATTRIBUTE SP_bias_max NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE TRINARYp NUMERIC
@ATTRIBUTE VCG_CLAUSE_entropy NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE HORNY_VAR_min NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE SP_bias_q75 NUMERIC
@ATTRIBUTE CG_min NUMERIC
@ATTRIBUTE cluster_coeff_min NUMERIC
@ATTRIBUTE cluster_coeff_entropy NUMERIC
@ATTRIBUTE CG_max NUMERIC
@ATTRIBUTE cluster_coeff_mean NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE CG_coeff_variation NUMERIC
@ATTRIBUTE CG_entropy NUMERIC
@ATTRIBUTE cluster_coeff_max NUMERIC
@ATTRIBUTE CG_mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE cluster_coeff_coeff_variation NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE horn_clauses_fraction NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_mean NUMERIC
@ATTRIBUTE reducedClauses NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_entropy NUMERIC
@ATTRIBUTE VCG_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_min NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_min NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE UNARY NUMERIC
@ATTRIBUTE BINARYp NUMERIC
@ATTRIBUTE DIAMETER_coeff_variation NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC

@DATA
SAT_Competition2009/APPLICATION/SAT07/industrial/anbulagan/hard-unsat/total-10-19-u.cnf,1,3.1176,0.5964,0.1604,2.5426,2.8918,0.2387,0.5959,616629,0.0301,0.1516,0,0.0001,0.2114,0,0,0.5311,0,0,0,0.8261,20786,0.617,0.9564,0.0134,0.0001,0.9325,0.967,93490,0,0,0.0001,0.7857,?,?,?,?,?,15.1905,?,?,?,?,0,?,0.6862,0.7382,2.6137,0,1.0345,0.3441,1.548,1571183,1,1.2873,0.3695,15,0,0,0,0.5464,0.0259,42,16,0
SAT_RACE2008/simon-s02b-r4b1k1.2.cnf,1,2.4849,1.5385,0.1209,0.151,2.7096,0.135,0.5504,14230,0.0241,0.148,0.0073,0.0162,0.0732,0.0006,0.0013,1.5995,0,0.0015,0.0015,0.7037,60.47,0.8864,0.9738,0.0163,0.01,0.8207,0.9593,2106,0.0009,0.0001,0.0114,0.9171,0.0006,0.0476,3.1226,0.0364,0.1848,5.8542,0.8627,4.8548,0.3974,0.0073,0.0022,0.3274,0.8937,0.6219,2.2387,0,1.0135,0.4568,0.0409,14812,1,1.3838,1.0215,5,0,0.0006,0,0.7723,0.0603,368,6,0.0627
SAT_Competition2011/SAT11/application/kullmann/AES/Benchmarks/128/aes_128_2_keyfind_1.cnf,1,0.9857,0.9107,0.018,0.25,2.9039,0.0097,0.6498,19440,0.1391,0.0823,0.0011,0.0092,0.1504,0.0004,0.0003,0.7779,0,0.0035,0.0035,0.1,94.0605,0.0021,0.1875,0.0684,0.0016,0.158,1.6459,1600,0.0013,0.0001,0.005,0.0363,?,?,?,?,?,7.2846,?,?,?,?,0.0006,?,0.4492,0.1326,2.4556,0,0.7312,0.3526,0.0568,20544,1,2.1902,0.2662,6,0,0.0005,0,0.0263,0.0649,493,8,0.0672
SAT_Competition2007/industrial/industrial/babic/hsatv17/hsat_vc11773.cnf,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
SAT_RACE2008/velev-vliw-sat-4.0-b4.cnf,1,4.1231,13.386,0.2696,0.0781,4.354,0.4831,1.3035,13262068,0.2415,0.0364,0.0083,0.0165,0.5,0,0,9.197,0,0,0,1,1500390,0.9987,1,0.0571,0.0089,0.9588,0.9339,483003,0,0,0.0138,1,?,?,?,?,?,0,?,?,?,?,0.0001,?,0.5612,0.9568,4.23,0,0.6963,0.5825,0.0065,13348117,1,1.285,3.7972,0,0,0,0,0.6348,0,0,0,0
SAT_RACE2006/SAT-Race_TS_1/velev-sss-1.0-cl.cnf,1,3.6748,1.3945,0.1792,0.3878,3.8663,0.2206,1.0757,11329,0.0896,0.0924,0.0357,0.0792,0.4564,0.0017,0.0007,1.178,0,0.0031,0.0031,0.75,50.7781,0.851,0.9965,0.0287,0.0718,0.8665,0.9607,1047,0.0019,0,0.0248,0.897,?,?,?,?,?,4.0325,?,?,?,?,0.0042,?,0.9745,0.8538,3.4516,0,0.7682,0.5953,0.1061,12531,1,1.4683,1.1314,3,0,0.0006,0,0.8161,0.0558,2186,5,0.0586
SAT_RACE2006/SAT-Race-Benchmarks/mizh-sha0-35-5.cnf,1,0.8461,0.5099,0.0385,1.4463,2.571,0.0194,0.5185,115706,0.0447,0.172,0.0002,0.0005,0.2106,0.0001,0,0.4984,0,0.0002,0.0002,0.4,1727.41,0.006,0.7622,0.0308,0.0002,0.5338,0.921,19903,0.0001,0,0.0003,0.0665,0.0001,0.0887,3.2888,0.0007,0.2563,13.1873,0.4279,3.7433,0.5714,0.0003,0.0001,0.2805,0.1094,0.5302,2.3046,0,0.4375,0.4086,0.7636,204055,1,1.0399,0.1873,13,0,0.0001,0,0.0827,0.0296,81,14,0.0195
SAT-Race-2010-CNF/hardware-verification/manolios/c10idw_i.cnf,1,2.8827,2.0163,0.1496,4.9941,2.9961,0.1713,1.7597,247614,0.1457,0.1323,0.0071,0.0142,0.4444,0,0,2.377,0,0.0001,0.0001,0.9658,1307.17,0.6142,1,0.0797,0.0083,0.468,1.6206,32750,0.0001,0,0.0015,0.7335,?,?,?,?,?,7.4146,?,?,?,?,0.0001,?,0.1491,0.4435,2.5155,0,0.692,0.3756,1.3544,582994,1,1.7696,0.3744,7,0,0,0,0.1194,0.0664,89,8,1.4142
SAT_RACE2006/SAT-Race_TS_1/velev-fvp-sat-3.0-12.cnf,1,3.9796,1.1802,0.297,0.1674,5.004,0.3855,1.8786,998052,0.4959,0.0308,0.0012,0.0022,0.5,0.0001,0,1.2443,0.0014,0.0001,0.0001,0.9394,6414,0.808,1,0.1745,0.0107,0.9743,0.8854,30713,0.0001,0,0.0046,0.9971,?,?,?,?,?,4.08,?,?,?,?,0.0002,?,0.4217,0.9764,4.8088,0,0.6168,0.5889,0.0143,1012275,1,1.0885,1.714,4,0,0,0,0.4972,0.0665,2,5,0
SAT_RACE2008/velev-vliw-uns-4.0-9.cnf,1,4.0721,6.6383,0.2523,0.1323,4.3618,0.4428,1.3191,1789068,0.3595,0.0475,0.0099,0.0199,0.5,0,0,4.6846,0,0,0,1,16446,0.9963,1,0.0924,0.0171,0.9501,0.9825,84942,0,0,0.0261,0.9999,?,?,?,?,?,5,?,?,?,?,0.0003,?,0.584,0.9423,4.1956,0,0.7766,0.529,0.014,1814189,1,1.3557,2.5312,5,0,0,0,0.6199,0,0,5,0
