@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 16'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,479.188,0.0003,0.0003,0.0006,148.318,0.0003,2130,2165,2150,2085,2129.09,0.0006,2014.62,2070,2183,0
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,347.765,0.0003,0.0003,0.0007,158.52,0.0003,2130,2163,2159,2091,2127.88,0.0006,2022.12,2081,2175,0
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,9.7683,0.0875,0.0875,0.0875,9.6097,0.0875,14,17,14,10,13.7119,0.0111,13.7424,10,17,0.0781
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,82.7872,0.0006,0.0006,0.0021,61.6392,0.0004,1001,1038,1005,978,1004.05,0.0013,994.926,975,1032,0.0001
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17.7512,0.035,0.035,0.035,18.056,0.035,33,39,33,27,33.4572,0.0117,32.9107,28,39,0.0307
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,10.5497,0.0778,0.0778,0.0778,10.4131,0.0778,15,19,15,12,15.3671,0.0111,15.365,12,19,0.071
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,9.6703,0.0455,0.0455,0.0455,8.7044,0.0455,22,27,22,18,21.9929,0.0457,21.9929,18,27,0.0341
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,10.0267,0.0455,0.0455,0.0455,9.0747,0.0455,22,26,22,17,21.9697,0.0456,21.9015,18,27,0.0359
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,580,0.0002,0.0002,0.0005,541.35,0.0002,2779,2824,2759,2674,2632,0.0005,2508.18,2694,2809,0
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,6.8891,0.14,0.14,0.14,6.3715,0.14,9,11,9,6,8.835,0.011,8.9002,6,12,0.1245
SAT_Competition2009/RANDOM/LARGE/3SAT/UNKNOWN/18000/unif-k3-r4.2-v18000-c75600-S2080625895-070.cnf,1,1371.43,0.0002,0.0002,0.0003,308.067,0.0002,3804,3840,3863,0,3808.6,0.0004,3309.43,3760,3874,0
SAT_Competition2007/random/OnTreshold/7SAT/v75/unif-k7-r89-v75-c6675-S1762817022-10.UNSAT.shuffled.cnf,1,9.5164,0.0933,0.0933,0.0933,8.9854,0.0933,13,16,13,10,12.8971,0.0111,12.8651,10,16,0.0851
SAT_Competition2009/RANDOM/MEDIUM/5SAT/UNKNOWN/110/unif-k5-r21.3-v110-c2343-S257485978-084.cnf,1,9.8923,0.0455,0.0455,0.0455,8.9041,0.0455,22,27,22,17,21.9807,0.0456,21.9356,18,27,0.0359
SAT_Competition2007/random/OnTreshold/3SAT/v650/unif-k3-r4.261-v650-c2769-S1172355929-14.SAT.shuffled.cnf,1,20.4265,0.0048,0.0048,0.0079,16.5324,0.0047,140,152,140,129,140.333,0.0095,140.408,130,152,0.0018
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/100/unif-k5-r21.3-v100-c2130-S1920888253-090.cnf,1,8.7154,0.05,0.05,0.05,7.8161,0.05,20,25,20,16,20.0942,0.046,20.1016,16,24,0.0376
SAT_Competition2007/random/2+p/p0.7/v3500/unif2p-p0.7-v3500-c9345-S1909130260-19-SAT.cnf,1,45.5847,0.0012,0.0012,0.0035,37.1889,0.0008,539,557,537,515,538.215,0.0024,536.403,517,561,0.0001
SAT_Competition2011/SAT11/random/medium/unif-k5-r21.3-v125-c2662-S236776564-037.SATISFIABLE.cnf,1,10.7963,0.04,0.04,0.04,9.6553,0.04,25,30,25,20,24.8788,0.0451,24.9176,20,30,0.0319
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v70-c6230-S1516725086-012.UNKNOWN.cnf,1,8.9636,0.1,0.1,0.1,8.6014,0.1,12,15,12,9,12.0504,0.0111,12.0581,9,15,0.0928
