@RELATION 'FEATURE_VALUES-SAT12-RAND-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.SymmetricalUncertAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 64'

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE saps_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_VAR_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_max NUMERIC
@ATTRIBUTE gsat_BestSolution_Mean NUMERIC
@ATTRIBUTE VCG_CLAUSE_min NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Median NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE VG_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Mean NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_Q10 NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_Q90 NUMERIC
@ATTRIBUTE VCG_VAR_min NUMERIC
@ATTRIBUTE lobjois_mean_depth_over_vars NUMERIC
@ATTRIBUTE nvarsOrig NUMERIC
@ATTRIBUTE nvars NUMERIC
@ATTRIBUTE cl_num_q50 NUMERIC
@ATTRIBUTE cl_num_mean NUMERIC
@ATTRIBUTE saps_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE SP_unconstraint_q50 NUMERIC
@ATTRIBUTE cl_num_q10 NUMERIC
@ATTRIBUTE lobjois_log_num_nodes_over_vars NUMERIC
@ATTRIBUTE cl_num_q25 NUMERIC
@ATTRIBUTE cl_num_q90 NUMERIC
@ATTRIBUTE cl_num_min NUMERIC
@ATTRIBUTE SP_unconstraint_q25 NUMERIC
@ATTRIBUTE cl_num_q75 NUMERIC
@ATTRIBUTE VCG_VAR_max NUMERIC
@ATTRIBUTE HORNY_VAR_mean NUMERIC
@ATTRIBUTE SP_unconstraint_q10 NUMERIC
@ATTRIBUTE nclauses NUMERIC
@ATTRIBUTE gsat_FirstLocalMinStep_CoeffVariance NUMERIC
@ATTRIBUTE VG_max NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE vars_clauses_ratio NUMERIC
@ATTRIBUTE SP_unconstraint_mean NUMERIC
@ATTRIBUTE nclausesOrig NUMERIC
@ATTRIBUTE cl_size_max NUMERIC
@ATTRIBUTE HORNY_VAR_max NUMERIC
@ATTRIBUTE SP_unconstraint_q75 NUMERIC
@ATTRIBUTE cl_size_q90 NUMERIC
@ATTRIBUTE cl_num_max NUMERIC
@ATTRIBUTE saps_BestAvgImprovement_Mean NUMERIC
@ATTRIBUTE VG_coeff_variation NUMERIC
@ATTRIBUTE SP_unconstraint_q90 NUMERIC
@ATTRIBUTE DIAMETER_mean NUMERIC
@ATTRIBUTE VCG_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_mean NUMERIC
@ATTRIBUTE cl_size_q50 NUMERIC
@ATTRIBUTE cl_size_mean NUMERIC
@ATTRIBUTE cl_size_q75 NUMERIC
@ATTRIBUTE cl_num_coeff_variation NUMERIC
@ATTRIBUTE cl_size_coeff_variation NUMERIC
@ATTRIBUTE DIAMETER_max NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_stdev NUMERIC
@ATTRIBUTE saps_BestSolution_CoeffVariance NUMERIC
@ATTRIBUTE HORNY_VAR_entropy NUMERIC
@ATTRIBUTE POSNEG_RATIO_CLAUSE_coeff_variation NUMERIC
@ATTRIBUTE POSNEG_RATIO_VAR_entropy NUMERIC
@ATTRIBUTE gsat_BestAvgImprovement_CoeffVariance NUMERIC
@ATTRIBUTE cl_size_q10 NUMERIC

@DATA
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S421554531-04.cnf,1,479.188,0.0003,0.0003,0.0006,148.318,0.0003,2130,2165,2150,2085,2129.09,0.0006,2014.62,2070,2183,0,0.237,10000,9752,17,18.2639,0.2673,0.0802,11,0.3017,13,26,8,0.048,21,0.0008,0.0002,0.0283,41709,0.019,0.0017,0.0616,0.2338,0.093,42000,84,0.0006,0.1256,64.9,42,0.7922,0.2943,0.1747,5.0606,2.7143,0.2274,52,53.1653,59.8,0.3668,0.1804,6,0.1707,1.7795,2.3332,0.5867,3.3528,0.2219,40.8125
SAT_Competition2007/random/LargeSize/3SAT/v10000/unif-k3-r4.2-v10000-c42000-S1912540524-08.cnf,1,347.765,0.0003,0.0003,0.0007,158.52,0.0003,2130,2163,2159,2091,2127.88,0.0006,2022.12,2081,2175,0,0.2396,10000,9769,17,18.1437,0.2581,0.0791,12,0.3052,14,26,8,0.0472,22,0.0009,0.0002,0.0281,41760,0.0186,0.002,0.0652,0.2339,0.0925,42000,86,0.0005,0.1249,69.2857,36,0.6462,0.2948,0.1773,5.0265,2.7124,0.2274,52.5,54.1613,59.4762,0.3096,0.1878,6,0.1686,0.9824,2.3261,0.5878,3.3526,0.2662,43.4783
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v80-c7120-S474185167-033.SATISFIABLE.cnf,1,9.7683,0.0875,0.0875,0.0875,9.6097,0.0875,14,17,14,10,13.7119,0.0111,13.7424,10,17,0.0781,0.6687,80,80,4385,4416.4,0.1992,0.0001,4338,0.7503,4358,4545,4338,0,4456,0.0958,0.0055,0,7120,0.1938,0.0111,1.7242,0.0112,0.0001,7120,29.3166,0.0074,0.0001,29.3166,4545,1.9698,0,0.0001,2,3.8445,0.0304,28.372,28.5736,28.6203,0.0171,0.0138,2,0.0268,0.2677,3.0116,0.6799,2.0649,0.4144,28.2105
SAT_Competition2007/random/2+p/p0.7/v6500/unif2p-p0.7-v6500-c17355-S1097641288-15-SAT.cnf,1,82.7872,0.0006,0.0006,0.0021,61.6392,0.0004,1001,1038,1005,978,1004.05,0.0013,994.926,975,1032,0.0001,0.1882,6500,4798,435,499.84,0.1066,0.1668,380,0.3942,398,751,338,0.1024,535,0.0025,0.0003,0.058,15027,0.0235,0.0056,0.0869,0.3193,0.1802,17354,36.8853,0.0013,0.2418,36.3352,924,0.5312,0.4603,0.3089,5.9545,2.6233,0.2923,28.5176,29.8539,30.6136,0.3086,0.1233,7,0.2098,0.9419,2.1556,0.7575,3.0474,0.293,25.9674
SAT_Competition2009/RANDOM/LARGE/7SAT/UNKNOWN/200/unif-k7-r85-v200-c17000-S266028630-005.cnf,1,17.7512,0.035,0.035,0.035,18.056,0.035,33,39,33,27,33.4572,0.0117,32.9107,28,39,0.0307,0.6302,200,200,3864,3854.75,0.1421,0.0001,3514,0.7266,3754,4287,3514,0.0001,4287,0.04,0.0021,0.0001,17000,0.1342,0.0117,1.2586,0.0118,0.0001,17000,59.0669,0.0031,0.0001,59.0669,4287,1.5963,0,0.0002,2,4.3154,0.0341,58.1688,57.5305,59.0669,0.0726,0.025,2,0.0259,0.2009,3.0585,0.6789,2.1585,0.4318,55.1866
SAT_Competition2011/SAT11/random/medium/unif-k7-r89-v90-c8010-S775210372-041.UNKNOWN.cnf,1,10.5497,0.0778,0.0778,0.0778,10.4131,0.0778,15,19,15,12,15.3671,0.0111,15.365,12,19,0.071,0.6625,90,90,4329,4362,0.1855,0.0001,4236,0.7487,4298,4543,4236,0,4404,0.0849,0.0049,0,8010,0.1921,0.0111,1.7176,0.0112,0.0001,8010,32.4942,0.007,0.0001,32.4942,4543,1.9129,0,0.0001,2,3.8942,0.0317,31.3501,31.4722,31.4809,0.0242,0.0173,2,0.0243,0.2423,3.1112,0.6786,2.0381,0.413,30.9457
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S986324446-009.cnf,1,9.6703,0.0455,0.0455,0.0455,8.7044,0.0455,22,27,22,18,21.9929,0.0457,21.9929,18,27,0.0341,0.5591,110,110,4256,4278.25,0.1619,0.0016,4227,0.6975,4237,4397,4227,0.0009,4356,0.0619,0.0088,0.0006,2343,0.162,0.0465,1.1521,0.0469,0.0019,2343,25.9397,0.0132,0.0025,25.9397,4397,1.5591,0.0156,0.004,2.789,3.564,0.0788,25.2758,24.9297,25.4522,0.0138,0.0277,3,0.0616,0.2899,2.7114,0.64,2.8732,0.433,23.6932
SAT_Competition2009/RANDOM/MEDIUM/5SAT/SATISFIABLE/110/unif-k5-r21.3-v110-c2343-S1850025790-078.cnf,1,10.0267,0.0455,0.0455,0.0455,9.0747,0.0455,22,26,22,17,21.9697,0.0456,21.9015,18,27,0.0359,0.5605,110,110,4266,4277.375,0.1617,0.0014,4192,0.704,4227,4419,4192,0.0009,4385,0.0568,0.0082,0.0006,2343,0.1625,0.0465,1.1488,0.0469,0.0018,2343,26.2152,0.0137,0.0024,26.2152,4419,1.563,0.0149,0.0033,2.8624,3.4926,0.0792,25.4038,25.2032,26.0166,0.0179,0.0257,3,0.0526,0.272,2.7746,0.6414,2.8748,0.4281,24.3634
SAT_Competition2007/random/LargeSize/3SAT/v13000/unif-k3-r4.2-v13000-c54600-S2045682869-15.cnf,1,580,0.0002,0.0002,0.0005,541.35,0.0002,2779,2824,2759,2674,2632,0.0005,2508.18,2694,2809,0,0.2293,13000,12681,11,12.4356,0.3321,0.0788,7,0.3014,9,18,5,0.0461,15,0.0008,0.0001,0.0274,54263,0.2359,0.0017,0.0645,0.2337,0.0919,54600,104.1667,0.0004,0.1228,76.5,31,0.7619,0.2953,0.1762,5.038,2.7188,0.225,59.1429,59.369,66.7,0.3721,0.2051,6,0.17,1.1822,2.339,0.5866,3.3507,0.2496,43.8235
SAT_Competition2007/random/OnTreshold/7SAT/v50/unif-k7-r89-v50-c4450-S1718130589-01.SAT.shuffled.cnf,1,6.8891,0.14,0.14,0.14,6.3715,0.14,9,11,9,6,8.835,0.011,8.9002,6,12,0.1245,0.7049,50,50,4579,4584,0.231,0.0001,4553,0.7737,4555,4646,4553,0,4587,0.1492,0.0088,0,4450,0.2278,0.011,1.9675,0.0112,0.0001,4450,20.2036,0.0119,0.0001,20.2036,4646,2.2224,0,0.0001,2,3.5029,0.0348,19.7117,19.7719,19.758,0.0074,0.0114,2,0.0259,0.2888,2.9188,0.687,1.964,0.4304,19.5669
